Protein,Drug,ED,MD,WC,WQ,WG,YH,AI,FL,EM,TM,CW,EW,FW,MY,CV,NH,NF,MATS3c,MATS5v,GATS2c,GATS5c,nBase,Kier1,nAtomP,MLFER_BO,MPC6,nFRing,nF8HeteroRing,RotBtFrac,GGI6,JGI10,JGT,MWC9,WPATH,'Class Label'
hsa_3778,D00650,0.00254,0.00254,0.000847,0.000847,0,0.00254,0.001693,0.006774,0.001693,0.00254,0,0.000847,0.000847,0.000847,0.001693,0.001693,0.004234,0.578015,0.743533,0.207899,0.450071,0,0.287056,0.75,0.319363,0.36478,0.015152,0,0.24569,0.372334,0.662103,0.806895,0.800662,0.051585,Interactive
hsa_8912,D05024,0.005115,0.000853,0.000853,0.000853,0.001279,0.001705,0.004263,0.004689,0.002558,0.001279,0,0,0,0.000853,0.001705,0.000426,0.002558,0.726062,0.635462,0.424195,0.490974,0.4,0.412366,0.45,0.428126,0.418239,0.030303,0,0.412393,0.442752,0.540546,0.46982,0.824904,0.129498,Interactive
hsa_781,D02356,0.007339,0.000917,0,0.001835,0,0,0.001835,0.004587,0.001835,0,0,0,0,0,0.000917,0.000917,0.00367,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_3778,D00294,0.00254,0.00254,0.000847,0.000847,0,0.00254,0.001693,0.006774,0.001693,0.00254,0,0.000847,0.000847,0.000847,0.001693,0.001693,0.004234,0.686336,0.740178,0.263516,0.459139,0.4,0.094791,0.6,0.334257,0.132075,0.015152,0,0.097222,0.045094,0,0.745366,0.631611,0.007488,Interactive
hsa_6329,D02272,0.004905,0.00218,0.000545,0,0,0,0.00436,0.005995,0.003815,0.00327,0.000545,0.000545,0.000545,0.002725,0.00327,0.00109,0.00327,0.779646,0.782608,0.415382,0.474388,0.4,0.213377,0.55,0.435746,0.352201,0.060606,0,0.189815,0.181901,0.733973,0.311342,0.768751,0.037738,Interactive
hsa_6531,D05458,0,0,0,0.001616,0.001616,0,0.008078,0.008078,0,0.001616,0.001616,0,0,0,0.001616,0,0,0.411884,0.454361,0.184852,0.532525,0,0.070307,0.3,0.064773,0.031447,0,0,0.431818,0.04479,0,0.54255,0.401902,0.004279,Interactive
hsa_2555,D00499,0.004444,0.004444,0,0,0,0,0,0.004444,0,0.006667,0,0,0.002222,0,0,0,0,0.302478,0.603445,0.163461,0.485726,0,0.15575,0.4,0.322134,0.100629,0,0,0.414063,0.037782,0,0.742595,0.654677,0.011351,Interactive
hsa_784,D00618,0.008282,0,0,0.00207,0,0,0.00207,0.004141,0,0,0,0,0,0.00207,0,0.004141,0.00207,0.637648,0.69384,0.297732,0.814175,0,0.331196,0.55,0.416003,0.339623,0,0,0.461207,0.480195,0.213781,0.444653,0.774572,0.053428,Interactive
hsa_285242,D00678,0,0.004255,0,0,0,0,0.006383,0.008511,0.002128,0,0,0.004255,0,0,0,0,0,0.601625,0.729252,0.416082,0.41984,0,0.180853,0.55,0.46311,0.330189,0.045455,0,0.125,0.131966,0.393357,0.296836,0.776138,0.02915,Interactive
hsa_6331,D00512,0.005462,0.002979,0.000497,0,0,0.000497,0.002979,0.005958,0.003972,0.00149,0.00149,0.000497,0.000497,0.00149,0.002483,0.000497,0.003972,0.475011,0.673317,0.179462,0.502528,0.4,0.153974,0.3,0.618982,0.207547,0,0,0.107143,0.104814,0,0.317891,0.735649,0.017859,Interactive
hsa_3746,D00638,0.005137,0,0,0.001712,0.001712,0,0.001712,0.010274,0.001712,0.003425,0.001712,0,0.005137,0.003425,0.001712,0,0.001712,0.781549,0.830775,0.353353,0.302042,0.2,0.331196,0.55,0.321441,0.201258,0,0,0.533046,0.28245,0.929918,0.567846,0.673902,0.065849,Interactive
hsa_1137,D03826,0.003195,0,0,0,0,0,0.001597,0.00639,0,0.004792,0,0.003195,0.003195,0,0.003195,0,0,0.667848,0.518035,0.348015,0.246853,0.4,0.170441,0.55,0.281607,0.298742,0.045455,1,0.289773,0.175858,0,0.613759,0.789879,0.022108,Interactive
hsa_40,D00649,0.003914,0.001957,0,0,0.003914,0.001957,0,0.001957,0.001957,0.001957,0,0,0,0,0,0.001957,0.001957,0.625614,0.740178,0.266549,0.535804,0.6,0.138635,0.7,0.813994,0.084906,0,0,0.444444,0.075868,0,0.649424,0.552278,0.01046,Interactive
hsa_6328,D00477,0.004615,0.00359,0.000513,0,0,0.000513,0.005128,0.005641,0.004103,0.00359,0.001026,0.001026,0.000513,0.001538,0.002051,0,0.003077,0.729044,0.788844,0.383372,0.353347,0.4,0.172873,0.5,0.361621,0.075472,0,0,0.571078,0.09872,1,0.388004,0.489518,0.017888,Interactive
hsa_9311,D00332,0,0,0,0,0.001887,0,0.001887,0.007547,0.001887,0,0,0,0.001887,0,0,0,0.001887,0.636296,0.733744,0.172163,0.462245,0,0.087363,0.15,0.161067,0.037736,0,0,0.392361,0.02986,0,0.504484,0.483738,0.00526,Interactive
hsa_55584,D00726,0.006276,0.002092,0,0,0,0,0.002092,0.002092,0,0.002092,0.002092,0.004184,0,0,0.004184,0,0,0.657776,0.740178,0.263442,0.277601,0.4,0.224279,0.55,0.420159,0.116352,0,0,0.635417,0.113955,0.5,0.486142,0.593019,0.026328,Interactive
hsa_6328,D00638,0.004615,0.00359,0.000513,0,0,0.000513,0.005128,0.005641,0.004103,0.00359,0.001026,0.001026,0.000513,0.001538,0.002051,0,0.003077,0.781549,0.830775,0.353353,0.302042,0.2,0.331196,0.55,0.321441,0.201258,0,0,0.533046,0.28245,0.929918,0.567846,0.673902,0.065849,Interactive
hsa_6332,D00775,0.004759,0.00119,0.000595,0.000595,0,0.000595,0.002974,0.010113,0.00238,0.00119,0.000595,0.000595,0,0.00238,0.00119,0,0.004164,0.520836,0.606828,0.097668,0.472783,0,0.111442,0.55,0.322134,0.125786,0.015152,0,0.348958,0.115461,0,0.692239,0.59847,0.010489,Interactive
hsa_116443,D00332,0.002693,0.002693,0,0.000898,0,0,0.004488,0.005386,0.001795,0.003591,0.000898,0.000898,0,0,0,0,0.002693,0.636296,0.733744,0.172163,0.462245,0,0.087363,0.15,0.161067,0.037736,0,0,0.392361,0.02986,0,0.504484,0.483738,0.00526,Interactive
hsa_6332,D00303,0.004759,0.00119,0.000595,0.000595,0,0.000595,0.002974,0.010113,0.00238,0.00119,0.000595,0.000595,0,0.00238,0.00119,0,0.004164,0.481989,0.672921,0.357305,0.437925,0.4,0.280165,0.3,0.383789,0.213836,0,0,0.479167,0.438757,0,0.435807,0.731367,0.040294,Interactive
hsa_6334,D01450,0.005676,0.00258,0.000516,0,0,0.000516,0.003096,0.006192,0.001548,0.001032,0.001032,0.000516,0.000516,0.001548,0.00258,0.000516,0.003612,0.881892,0.737802,0.439324,0.648594,0.4,0.212341,0.45,0.210946,0.147799,0,0,0.38447,0.175198,0.285512,0.316916,0.633217,0.027992,Interactive
hsa_9311,D00538,0,0,0,0,0.001887,0,0.001887,0.007547,0.001887,0,0,0,0.001887,0,0,0,0.001887,0.385204,0.62356,0.222015,0.39764,0,0.094791,0.45,0.214063,0.113208,0.015152,0,0.166667,0.053626,0,0.520382,0.589399,0.008231,Interactive
hsa_783,D00512,0.006623,0,0,0,0,0,0.004967,0.003311,0,0,0,0.001656,0,0,0,0.006623,0,0.475011,0.673317,0.179462,0.502528,0.4,0.153974,0.3,0.618982,0.207547,0,0,0.107143,0.104814,0,0.317891,0.735649,0.017859,Interactive
hsa_784,D00629,0.008282,0,0,0.00207,0,0,0.00207,0.004141,0,0,0,0,0,0.00207,0,0.004141,0.00207,0.585647,0.654403,0.29757,0.653341,0,0.297163,0.55,0.409075,0.305031,0,0,0.421296,0.320536,0,0.427335,0.756183,0.04383,Interactive
hsa_784,D00542,0.008282,0,0,0.00207,0,0,0.00207,0.004141,0,0,0,0,0,0.00207,0,0.004141,0.00207,0.699683,0.740178,0,0,0,0.034372,0,0,0,0,0,1,0,0,0.876471,0.24585,0.000773,Interactive
hsa_9311,D00303,0,0,0,0,0.001887,0,0.001887,0.007547,0.001887,0,0,0,0.001887,0,0,0,0.001887,0.481989,0.672921,0.357305,0.437925,0.4,0.280165,0.3,0.383789,0.213836,0,0,0.479167,0.438757,0,0.435807,0.731367,0.040294,Interactive
hsa_3359,D00563,0.00207,0.00207,0,0.00207,0,0,0.004141,0.008282,0.00207,0,0,0.00207,0,0,0,0.00207,0.00207,0.79423,0.69998,0.597182,0.405502,0.4,0.148633,0.35,0.264981,0.342767,0.106061,0,0.003623,0.143561,0,0.16324,0.736246,0.019939,Interactive
hsa_10008,D02356,0,0,0,0,0,0.009804,0,0.009804,0,0,0,0,0,0.009804,0,0,0,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_1135,D00611,0.007576,0,0,0,0,0.001894,0.003788,0.011364,0.001894,0.003788,0,0.003788,0,0,0.001894,0,0,0.794112,0.788238,0.38341,0.197413,0.2,0.061728,0,0.074125,0.110063,0.015152,0,0.358974,0,0,0.888562,0.711392,0.004309,Interactive
hsa_55799,D00437,0.002752,0,0,0.000917,0,0,0.004587,0.004587,0.000917,0.001835,0,0.001835,0.000917,0.000917,0,0.000917,0.001835,0.631866,0.669899,0.307511,0.679199,0,0.280165,0.55,0.409075,0.314465,0,0,0.399038,0.426874,0,0.389568,0.764045,0.03756,Interactive
hsa_3738,D02356,0.001742,0.001742,0,0,0,0.001742,0.008711,0.003484,0,0.001742,0,0,0.001742,0,0.001742,0.003484,0.001742,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_2556,D00550,0.002037,0.004073,0,0,0,0,0.004073,0.002037,0.002037,0.004073,0,0,0.002037,0,0,0,0,0.693973,0.740178,0.262007,0.35595,0,0.197082,0.95,0.661933,0.36478,0.045455,0,0.11859,0.282196,0,0.268179,0.771043,0.03028,Interactive
hsa_3359,D00456,0.00207,0.00207,0,0.00207,0,0,0.004141,0.008282,0.00207,0,0,0.00207,0,0,0,0.00207,0.00207,0.601625,0.729252,0.416082,0.41984,0,0.180853,0.55,0.46311,0.330189,0.045455,0,0.125,0.131966,0.393357,0.296836,0.776138,0.02915,Interactive
hsa_6329,D00639,0.004905,0.00218,0.000545,0,0,0,0.00436,0.005995,0.003815,0.00327,0.000545,0.000545,0.000545,0.002725,0.00327,0.00109,0.00327,0.944516,0.397683,0.357907,0.236235,0,0.104439,0.35,0.12539,0.059748,0,0,0.519231,0.030774,0,0.490667,0.472279,0.007132,Interactive
hsa_3760,D00294,0.004,0,0,0,0.002,0,0.002,0.01,0.002,0,0,0,0,0,0.002,0,0.002,0.686336,0.740178,0.263516,0.459139,0.4,0.094791,0.6,0.334257,0.132075,0.015152,0,0.097222,0.045094,0,0.745366,0.631611,0.007488,Interactive
hsa_2564,D00549,0,0.00198,0.00198,0.00198,0,0,0.00198,0.00198,0.00198,0.005941,0,0.00198,0.00198,0,0,0,0.005941,0.768745,0.540755,0.1976,1,0,0.104439,0.35,0.16176,0.059748,0,0,0.519231,0,0,0.48146,0.527792,0.006478,Interactive
hsa_786,D01295,0.004525,0.00905,0,0,0,0,0.00905,0.004525,0,0,0,0,0,0,0.004525,0,0,0.80456,0.734007,0.705307,0.511554,0.8,0.27911,0.4,0.1053,0.251572,0,0,0.159946,0.193784,0.403658,0,0.701083,0.068463,Interactive
hsa_2741,D00545,0.004464,0.008929,0,0.002232,0,0,0.002232,0.006696,0.002232,0.006696,0,0.002232,0.002232,0.004464,0,0,0.008929,0.704934,0.740178,0.321295,0.003122,0,0.085931,0,0.056806,0,0,0,1,0,0,0.911987,0.363613,0.00318,Interactive
hsa_6331,D00303,0.005462,0.002979,0.000497,0,0,0.000497,0.002979,0.005958,0.003972,0.00149,0.00149,0.000497,0.000497,0.00149,0.002483,0.000497,0.003972,0.481989,0.672921,0.357305,0.437925,0.4,0.280165,0.3,0.383789,0.213836,0,0,0.479167,0.438757,0,0.435807,0.731367,0.040294,Interactive
hsa_3746,D02356,0.005137,0,0,0.001712,0.001712,0,0.001712,0.010274,0.001712,0.003425,0.001712,0,0.005137,0.003425,0.001712,0,0.001712,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_55503,D00629,0.006906,0,0.001381,0,0,0,0.004144,0.002762,0,0.002762,0.001381,0,0,0.004144,0.001381,0.001381,0,0.585647,0.654403,0.29757,0.653341,0,0.297163,0.55,0.409075,0.305031,0,0,0.421296,0.320536,0,0.427335,0.756183,0.04383,Interactive
hsa_51802,D00303,0,0,0,0.001984,0.001984,0,0.001984,0.005952,0.001984,0,0,0,0,0,0.003968,0.003968,0.005952,0.481989,0.672921,0.357305,0.437925,0.4,0.280165,0.3,0.383789,0.213836,0,0,0.479167,0.438757,0,0.435807,0.731367,0.040294,Interactive
hsa_6328,D00739,0.004615,0.00359,0.000513,0,0,0.000513,0.005128,0.005641,0.004103,0.00359,0.001026,0.001026,0.000513,0.001538,0.002051,0,0.003077,0.704197,0.769131,0.538573,0.277514,0.4,0.212341,0.4,0.297887,0.106918,0,0,0.431818,0.082876,0.34205,0.001494,0.525973,0.03649,Interactive
hsa_777,D00618,0.004407,0.001763,0,0.000881,0,0.000441,0.005289,0.003967,0.002644,0.001763,0,0.000441,0,0.001322,0.001763,0.000441,0.001763,0.637648,0.69384,0.297732,0.814175,0,0.331196,0.55,0.416003,0.339623,0,0,0.461207,0.480195,0.213781,0.444653,0.774572,0.053428,Interactive
hsa_6328,D00741,0.004615,0.00359,0.000513,0,0,0.000513,0.005128,0.005641,0.004103,0.00359,0.001026,0.001026,0.000513,0.001538,0.002051,0,0.003077,0.804797,0.827811,0.476342,0.581463,0.4,0.207138,0.5,0.310357,0.100629,0,0,0.616228,0.106033,0.327108,0.312976,0.506346,0.02603,Interactive
hsa_8514,D02356,0,0,0.002732,0,0.005464,0.002732,0.008197,0,0.002732,0,0,0,0.002732,0.005464,0,0,0,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_3738,D00294,0.001742,0.001742,0,0,0,0.001742,0.008711,0.003484,0,0.001742,0,0,0.001742,0,0.001742,0.003484,0.001742,0.686336,0.740178,0.263516,0.459139,0.4,0.094791,0.6,0.334257,0.132075,0.015152,0,0.097222,0.045094,0,0.745366,0.631611,0.007488,Interactive
hsa_6334,D00642,0.005676,0.00258,0.000516,0,0,0.000516,0.003096,0.006192,0.001548,0.001032,0.001032,0.000516,0.000516,0.001548,0.00258,0.000516,0.003612,0.779646,0.782608,0.415382,0.474388,0.4,0.213377,0.55,0.435746,0.352201,0.060606,0,0.189815,0.181901,0.733973,0.311342,0.768751,0.037738,Interactive
hsa_6336,D01450,0.00665,0.001023,0.000512,0.000512,0,0,0.002558,0.004604,0.001535,0.001023,0.000512,0.000512,0.001535,0.001535,0.002558,0.000512,0.002558,0.881892,0.737802,0.439324,0.648594,0.4,0.212341,0.45,0.210946,0.147799,0,0,0.38447,0.175198,0.285512,0.316916,0.633217,0.027992,Interactive
hsa_6323,D00477,0.005478,0.002988,0.000498,0,0,0.000996,0.003984,0.006972,0.003486,0.00249,0.000996,0.000498,0.000996,0.001494,0.00249,0.000996,0.002988,0.729044,0.788844,0.383372,0.353347,0.4,0.172873,0.5,0.361621,0.075472,0,0,0.571078,0.09872,1,0.388004,0.489518,0.017888,Interactive
hsa_782,D00648,0.0067,0,0,0,0.001675,0,0.001675,0.00335,0.001675,0.001675,0,0,0,0,0.001675,0.001675,0,0.607098,0.726603,0.345469,0.370118,0.4,0.327198,0.5,0.432629,0.128931,0,0,0.679487,0.189214,0.428887,0.421894,0.587439,0.065284,Interactive
hsa_9311,D02356,0,0,0,0,0.001887,0,0.001887,0.007547,0.001887,0,0,0,0.001887,0,0,0,0.001887,0.873125,0.660895,0.529463,0.470891,0.4,0.416452,0.4,0.35123,0.257862,0,0,0.571078,0.371725,0.381625,0.541931,0.754651,0.109411,Interactive
hsa_6331,D01287,0.005462,0.002979,0.000497,0,0,0.000497,0.002979,0.005958,0.003972,0.00149,0.00149,0.000497,0.000497,0.00149,0.002483,0.000497,0.003972,0.881892,0.737802,0.439324,0.648594,0.4,0.212341,0.45,0.210946,0.147799,0,0,0.38447,0.175198,0.285512,0.316916,0.633217,0.027992,Interactive
hsa_23704,D00294,0,0,0,0,0.005917,0,0,0.005917,0,0,0,0,0,0,0,0,0,0.686336,0.740178,0.263516,0.459139,0.4,0.094791,0.6,0.334257,0.132075,0.015152,0,0.097222,0.045094,0,0.745366,0.631611,0.007488,Interactive
hsa_3758,D00219,0,0,0,0,0.002564,0.002564,0.005128,0.010256,0,0,0,0,0,0,0.005128,0.002564,0.007692,0.4474,0.840654,0.1805,0.607488,0,0.229268,0.75,0.334603,0.150943,0,0,0.275362,0.219988,0.713781,0.567549,0.638664,0.034469,Interactive
hsa_6336,D00358,0.00665,0.001023,0.000512,0.000512,0,0,0.002558,0.004604,0.001535,0.001023,0.000512,0.000512,0.001535,0.001535,0.002558,0.000512,0.002558,0.843632,0.713968,0.456122,0.508234,0.4,0.172873,0.45,0.204018,0.072327,0,0,0.571078,0.128885,0,0.483476,0.537758,0.016046,Interactive
hsa_2890,D00542,0.003315,0.001105,0,0.00221,0.001105,0.001105,0.003315,0.00442,0.00221,0.00221,0,0.001105,0,0,0.001105,0,0.001105,0.699683,0.740178,0,0,0,0.034372,0,0,0,0,0,1,0,0,0.876471,0.24585,0.000773,Interactive
