Query:
hsa:4759 K12357 sialidase-2/3/4 [EC:3.2.1.18] | (RefSeq) NEU2, SIAL2; neuraminidase 2 (A)
Interacts (potential) with the following drugs:
D00569 [predicted 5 times out of 5]
D00574 [predicted 5 times out of 5]
D00579 [predicted 5 times out of 5]
D00584 [predicted 5 times out of 5]
D00625 [predicted 5 times out of 5]
D00691 [predicted 5 times out of 5]
D00703 [predicted 5 times out of 5]
D00709 [predicted 5 times out of 5]
D00762 [predicted 5 times out of 5]
D00785 [predicted 5 times out of 5]
D00805 [predicted 5 times out of 5]
D00810 [predicted 5 times out of 5]
D00826 [predicted 5 times out of 5]
D00827 [predicted 4 times out of 5]
D00829 [predicted 5 times out of 5]
D00960 [predicted 4 times out of 5]
D00964 [predicted 5 times out of 5]
D00994 [predicted 5 times out of 5]
D00995 [predicted 5 times out of 5]
D00998 [predicted 5 times out of 5]
D01071 [predicted 5 times out of 5]
D01097 [predicted 5 times out of 5]
D01136 [predicted 5 times out of 5]
D01364 [predicted 4 times out of 5]
D01441 [predicted 4 times out of 5]
D01513 [predicted 5 times out of 5]
D01709 [predicted 5 times out of 5]
D01712 [predicted 5 times out of 5]
D01811 [predicted 5 times out of 5]
D01888 [predicted 4 times out of 5]
D01968 [predicted 5 times out of 5]
D02017 [predicted 5 times out of 5]
D02176 [predicted 5 times out of 5]
D02267 [predicted 5 times out of 5]
D02304 [predicted 5 times out of 5]
D02308 [predicted 5 times out of 5]
D02315 [predicted 5 times out of 5]
D02335 [predicted 4 times out of 5]
D02558 [predicted 5 times out of 5]
D02559 [predicted 5 times out of 5]
D02562 [predicted 5 times out of 5]
D02564 [predicted 5 times out of 5]
D02579 [predicted 5 times out of 5]
D02580 [predicted 4 times out of 5]
D03034 [predicted 5 times out of 5]
D03433 [predicted 4 times out of 5]
D03601 [predicted 5 times out of 5]
D03670 [predicted 5 times out of 5]
D03731 [predicted 5 times out of 5]
D03733 [predicted 5 times out of 5]
D03822 [predicted 5 times out of 5]
D04028 [predicted 4 times out of 5]
D04966 [predicted 5 times out of 5]
D04983 [predicted 5 times out of 5]
D05341 [predicted 5 times out of 5]
D05458 [predicted 5 times out of 5]

Query:
hsa:2882 K00432 glutathione peroxidase [EC:1.11.1.9] | (RefSeq) GPX7, CL683, GPX6, GPx-7, GSHPx-7, NPGPx; glutathione peroxidase 7 (A)
Interacts (potential) with the following drugs:
D00007 [predicted 5 times out of 5]
D00014 [predicted 4 times out of 5]
D00021 [predicted 5 times out of 5]
D00027 [predicted 5 times out of 5]
D00029 [predicted 5 times out of 5]
D00032 [predicted 5 times out of 5]
D00035 [predicted 5 times out of 5]
D00036 [predicted 5 times out of 5]
D00037 [predicted 5 times out of 5]
D00038 [predicted 5 times out of 5]
D00039 [predicted 5 times out of 5]
D00041 [predicted 5 times out of 5]
D00043 [predicted 5 times out of 5]
D00049 [predicted 5 times out of 5]
D00052 [predicted 4 times out of 5]
D00055 [predicted 5 times out of 5]
D00065 [predicted 5 times out of 5]
D00097 [predicted 5 times out of 5]
D00103 [predicted 5 times out of 5]
D00107 [predicted 4 times out of 5]
D00109 [predicted 5 times out of 5]
D00126 [predicted 5 times out of 5]
D00160 [predicted 5 times out of 5]
D00184 [predicted 5 times out of 5]
D00217 [predicted 5 times out of 5]
D00222 [predicted 5 times out of 5]
D00224 [predicted 5 times out of 5]
D00227 [predicted 5 times out of 5]
D00231 [predicted 4 times out of 5]
D00332 [predicted 5 times out of 5]
D00371 [predicted 5 times out of 5]
D00377 [predicted 5 times out of 5]
D00380 [predicted 5 times out of 5]
D00401 [predicted 5 times out of 5]
D00410 [predicted 5 times out of 5]
D00417 [predicted 4 times out of 5]
D00418 [predicted 5 times out of 5]
D00487 [predicted 5 times out of 5]
D00496 [predicted 5 times out of 5]
D00501 [predicted 5 times out of 5]
D00528 [predicted 5 times out of 5]
D00535 [predicted 5 times out of 5]
D00536 [predicted 5 times out of 5]
D00542 [predicted 5 times out of 5]
D00543 [predicted 5 times out of 5]
D00544 [predicted 5 times out of 5]
D00545 [predicted 5 times out of 5]
D00546 [predicted 5 times out of 5]
D00547 [predicted 5 times out of 5]
D00549 [predicted 5 times out of 5]
D00562 [predicted 5 times out of 5]
D00566 [predicted 5 times out of 5]
D00569 [predicted 4 times out of 5]
D00579 [predicted 5 times out of 5]
D00584 [predicted 5 times out of 5]
D00691 [predicted 4 times out of 5]
D00703 [predicted 5 times out of 5]
D00709 [predicted 5 times out of 5]
D00762 [predicted 5 times out of 5]
D00810 [predicted 5 times out of 5]
D00829 [predicted 5 times out of 5]
D00994 [predicted 5 times out of 5]
D00995 [predicted 5 times out of 5]
D00998 [predicted 5 times out of 5]
D01071 [predicted 5 times out of 5]
D01136 [predicted 5 times out of 5]
D01441 [predicted 4 times out of 5]
D01513 [predicted 4 times out of 5]
D01712 [predicted 5 times out of 5]
D01811 [predicted 5 times out of 5]
D01968 [predicted 5 times out of 5]
D02017 [predicted 5 times out of 5]
D02176 [predicted 5 times out of 5]
D02267 [predicted 5 times out of 5]
D02304 [predicted 5 times out of 5]
D02308 [predicted 5 times out of 5]
D02335 [predicted 4 times out of 5]
D02559 [predicted 5 times out of 5]
D03034 [predicted 5 times out of 5]
D03670 [predicted 5 times out of 5]
D04966 [predicted 5 times out of 5]
D04983 [predicted 5 times out of 5]
D05458 [predicted 5 times out of 5]

Query:
hsa:3702 K07363 IL2-inducible T-cell kinase [EC:2.7.10.2] | (RefSeq) ITK, EMT, LPFS1, LYK, PSCTK2; IL2 inducible T cell kinase (A)
Interacts (potential) with the following drugs:
D00007 [predicted 5 times out of 5]
D00014 [predicted 5 times out of 5]
D00021 [predicted 5 times out of 5]
D00027 [predicted 5 times out of 5]
D00029 [predicted 5 times out of 5]
D00032 [predicted 5 times out of 5]
D00035 [predicted 5 times out of 5]
D00036 [predicted 5 times out of 5]
D00037 [predicted 5 times out of 5]
D00038 [predicted 5 times out of 5]
D00039 [predicted 5 times out of 5]
D00041 [predicted 5 times out of 5]
D00043 [predicted 5 times out of 5]
D00049 [predicted 5 times out of 5]
D00052 [predicted 4 times out of 5]
D00055 [predicted 5 times out of 5]
D00065 [predicted 5 times out of 5]
D00097 [predicted 5 times out of 5]
D00103 [predicted 5 times out of 5]
D00109 [predicted 5 times out of 5]
D00126 [predicted 4 times out of 5]
D00160 [predicted 5 times out of 5]
D00184 [predicted 4 times out of 5]
D00217 [predicted 5 times out of 5]
D00225 [predicted 4 times out of 5]
D00227 [predicted 5 times out of 5]
D00332 [predicted 5 times out of 5]
D00371 [predicted 5 times out of 5]
D00377 [predicted 5 times out of 5]
D00380 [predicted 5 times out of 5]
D00401 [predicted 5 times out of 5]
D00410 [predicted 5 times out of 5]
D00417 [predicted 5 times out of 5]
D00418 [predicted 5 times out of 5]
D00487 [predicted 5 times out of 5]
D00496 [predicted 5 times out of 5]
D00501 [predicted 4 times out of 5]
D00505 [predicted 4 times out of 5]
D00528 [predicted 5 times out of 5]
D00535 [predicted 5 times out of 5]
D00536 [predicted 4 times out of 5]
D00542 [predicted 5 times out of 5]
D00543 [predicted 5 times out of 5]
D00544 [predicted 5 times out of 5]
D00545 [predicted 5 times out of 5]
D00546 [predicted 5 times out of 5]
D00547 [predicted 5 times out of 5]
D00549 [predicted 5 times out of 5]
D00562 [predicted 5 times out of 5]
D00566 [predicted 5 times out of 5]
D00579 [predicted 5 times out of 5]
D00584 [predicted 5 times out of 5]
D00691 [predicted 4 times out of 5]
D00703 [predicted 5 times out of 5]
D00709 [predicted 5 times out of 5]
D00762 [predicted 5 times out of 5]
D00771 [predicted 4 times out of 5]
D00810 [predicted 5 times out of 5]
D00829 [predicted 5 times out of 5]
D00960 [predicted 4 times out of 5]
D00964 [predicted 4 times out of 5]
D00994 [predicted 5 times out of 5]
D00995 [predicted 4 times out of 5]
D00998 [predicted 4 times out of 5]
D01071 [predicted 5 times out of 5]
D01136 [predicted 5 times out of 5]
D01441 [predicted 5 times out of 5]
D01712 [predicted 5 times out of 5]
D01811 [predicted 5 times out of 5]
D01977 [predicted 5 times out of 5]
D02017 [predicted 5 times out of 5]
D02176 [predicted 5 times out of 5]
D02267 [predicted 5 times out of 5]
D02304 [predicted 5 times out of 5]
D02308 [predicted 5 times out of 5]
D02335 [predicted 5 times out of 5]
D02558 [predicted 4 times out of 5]
D02559 [predicted 4 times out of 5]
D03034 [predicted 5 times out of 5]
D03218 [predicted 4 times out of 5]
D03350 [predicted 5 times out of 5]
D03670 [predicted 4 times out of 5]
D03781 [predicted 5 times out of 5]
D03784 [predicted 5 times out of 5]
D03822 [predicted 4 times out of 5]
D04024 [predicted 5 times out of 5]
D04025 [predicted 5 times out of 5]
D04966 [predicted 5 times out of 5]
D04983 [predicted 5 times out of 5]
D05458 [predicted 5 times out of 5]

