Drug,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3
D00670,0.090909,0.263636,0,0.760362,0.391353,0.537423,0.35,0.212872,0,0,0.582877,0.548679,0
D00691,0.090909,0.118182,0,0.445558,0.647606,0.446504,0.2,0.098193,0,0.25,0.501874,0.494092,0
D00703,0.090909,0.109091,0,0.117208,0.578197,0.606433,0.05,0.064902,0,0,0.225419,0.31339,0
D00709,0.090909,0.118182,0,0.355986,0.556427,0.740869,0.1,0.064902,0,0,0.216429,0.320938,0
D00726,0.090909,0.2,0,0.589819,0.426349,0,0.2,0.192572,0,0,0.427175,0.408114,0
D00733,0.090909,0.263636,0,0.527576,0.464432,0.634979,0.3,0.260311,0,0.25,0.641883,0.470518,0
D00752,0.090909,0.281818,0,0.590164,0.513374,0.527756,0.3,0.281569,0,0,0.587017,0.552657,0
D00753,0.090909,0.709091,0,0.617835,0.514754,0.642614,0.45,0.682478,0,0,0.576696,0.695044,0
D00762,0.181818,0.118182,0,0.345867,0.71757,0.669698,0.2,0.075072,0,0,0.376835,0.340765,0
D00771,0.090909,0.027273,0,0.614345,0.426349,0,0.2,0.025242,0,0.25,0.411554,0.348737,0
D00781,0.090909,0.127273,0,0.565625,0.722415,0.601,0.3,0.198593,0,0,0.565954,0.453824,0
D00785,0.090909,0.154545,0,0.785601,0.314496,0.576279,0.15,0.122786,0,0,0.366905,0.276604,0
D00786,0.090909,0.090909,0,0.587078,0.627282,0.567743,0.4,0.132408,0,0,0.592776,0.463886,0
D00805,0.090909,0.063636,0,1,0.426349,0,0.05,0.051878,0,0,0.14248,0.340491,0
D00810,0.181818,0.045455,0,0.392794,0.402753,0.621059,0.2,0.041315,0,0,0.321646,0.246656,0
D00813,0.181818,0.109091,0,0.539006,0.40965,0.642022,0.35,0.104271,0,0,0.587156,0.49878,0
D00826,0.090909,0.1,0,0.520003,0.22082,0.649211,0.15,0.018797,0,0,0.337659,0.335009,1
D00827,0.090909,0.081818,0,0.389067,0.454553,0.45192,0.4,0.178729,0,0,0.481888,0.422992,0
D00829,0.181818,0.118182,0,0.390687,0.614805,0.599368,0.05,0.080617,0,0,0.14248,0.295147,0
D00882,0.090909,0.118182,0,0.642662,0.426349,0,0.4,0.197016,0,0.25,0.550098,0.487913,0
D00884,0.181818,0.427273,0,0.521677,0.395834,0.731087,0.35,0.441346,0,0,0.5611,0.638623,1
D00885,0.090909,0.109091,0,0.642267,0.426349,0,0.45,0.215554,0,0.25,0.572184,0.488758,0
D00887,0.181818,0.309091,0,0.548894,0.464299,0.603856,0.65,0.384859,0,0,0.714422,0.634478,0
D00889,0.181818,0.3,0,0.588644,0.570066,0.548104,0.4,0.320376,0,0.25,0.652642,0.566148,0
D00892,0.181818,0.227273,0,0.501237,0.49867,0.611406,0.45,0.248877,0,0,0.782343,0.573956,0
D00893,0.181818,0.318182,0,0.467777,0.445111,0.697595,0.2,0.277245,0,0,0.498181,0.534385,0
D00900,0.090909,0.254545,0,0.421708,0.583141,0.70968,0.15,0.215973,0,0,0.400368,0.445814,0
D00902,0.181818,0.172727,0,0.409286,0.447738,0.777303,0.2,0.202343,0.5,0,0.421979,0.480559,0
D00903,0.181818,0.090909,0,0.632485,0.426349,0,0.35,0.14026,0,0,0.532373,0.42572,0
D00904,0.181818,0.090909,0,0.632485,0.426349,0,0.35,0.14026,0,0,0.532373,0.42572,0
D00947,0.090909,0.172727,0,0.468993,0.484931,0.577468,0.25,0.178848,0,0,0.550206,0.502813,0
D00960,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0
D00963,0.090909,0.209091,0,0.635543,0.636884,0.522478,0.25,0.083487,0,0,0.56309,0.616655,0
D00964,0.090909,0.090909,0,0.706779,0.206119,0.461825,0.4,0.168592,0,0.5,0.662974,0.480272,0
D00965,0.090909,0.081818,0,0.355049,1,0.405338,0.3,0.113717,0,0,0.559243,0.547122,0
D00968,0.181818,0.118182,0,0.443035,0.470999,0.61009,0.35,0.135679,0,0,0.549013,0.39071,0
D00969,0.090909,0.109091,0.25,0.428991,0.764835,0.490519,0.45,0.129192,0,0.25,0.6282,0.558246,0
D00970,0.181818,0.118182,0,0.499255,0.576234,0.454522,0.3,0.10374,0,0,0.627641,0.424169,0
D00994,0.090909,0.136364,0,0.687372,0.642766,0.49837,0.15,0.051878,0,0,0.336767,0.324541,0
D00995,0.090909,0.163636,0,0.433039,0.814326,0.284617,0.2,0.098369,0,0,0.419317,0.374355,0
D00998,0.090909,0.163636,0,0.433039,0.814326,0.284617,0.2,0.098369,0,0,0.419317,0.374355,0
D01001,0.090909,0.372727,0,0.602528,0.426349,0,0.4,0.380441,0,0,0.494232,0.544177,0
D01027,0,0.8,0,0.335444,0.38923,0.445006,0.7,0.575377,0,0,1,1,0
D01061,0.090909,0.336364,0,0.451099,0.614319,0.586105,0.55,0.293082,0,0.25,0.871033,0.705268,0
D01064,0.272727,0.190909,0.125,0.369678,0.677856,0.596912,0.55,0.272281,0,0,0.697363,0.550224,0
D01069,0.181818,0.263636,0,0.548507,0.436595,0.75135,0.3,0.277245,0,0,0.495135,0.534878,0
D01071,0.090909,0.127273,0,0.377247,0.758204,0.453881,0.2,0.081928,0,0,0.384056,0.490437,0
D01097,0.090909,0.063636,0,0.502744,0.428385,0.65836,0.2,0.101401,0,0.25,0.36422,0.274474,0
D01118,0.090909,0.209091,0.125,0.799666,0.647484,0.575964,0.3,0.155595,0,0,0.635073,0.51026,0
D01119,0.181818,0.236364,0.25,0.508552,0.349198,0.616163,0.4,0.316568,0,0,0.530863,0.525007,0
D01122,0.090909,0.2,0,0.580732,0.510809,0.578765,0.35,0.198593,0,0.25,0.499548,0.416121,0
D01133,0.090909,0.154545,0,0.575005,0.580351,0.594208,0.45,0.161475,0,0.25,0.787425,0.538889,0
D01136,0.181818,0.109091,0,0.371149,0.28757,0.681585,0.05,0.060543,0,0,0.188743,0.251658,0
D01164,0.090909,0.236364,0,0.66304,0.447666,0.643592,0.35,0.248877,0,0,0.56306,0.532197,0
D01180,0.090909,0.236364,0,0.60734,0.577965,0.564651,0.05,0.079096,0,0,0.567362,0.691397,1
D01183,0.181818,0.1,0,0.409044,0.541859,0.626403,0.35,0.121734,0,0,0.561871,0.423069,0
D01196,0.090909,0.045455,0.25,0.348597,0.854158,0.747726,0.25,0.05761,0,0.5,0.369015,0.344062,0
D01198,0.090909,0.2,0,0.569392,0.422411,0.538671,0.45,0.253651,0,0,0.609913,0.497171,0
D01211,0.272727,0.209091,0,0.342102,0.451468,0.688999,0.55,0.309641,0,0,0.602534,0.563516,0
D01223,0.090909,0.2,0,0.333744,0.539903,0.615905,0.25,0.210882,0,0,0.528922,0.508263,0
D01228,0.090909,0.281818,0,0.421189,0.561541,0.481293,0.4,0.328042,0,0,0.466776,0.458224,0
D01240,0.090909,0.663636,0,0.556158,0.473102,0.677429,0.1,0.476053,0,0,0.62315,0.797811,0
D01256,0.090909,0.136364,0.25,0.393737,0.372262,0.566714,0.4,0.103475,0,0,0.630062,0.596787,0
D01264,0.090909,0.236364,0,0.614837,0.60798,0.545719,0.45,0.243053,0,0,0.770442,0.694642,0
D01275,0.090909,0.236364,0,0.614675,0.527992,0.552713,0.45,0.258462,0,0,0.772071,0.697822,0
