Protein,Drug,CN,CQ,WG,TH,GL,FL,GM,HM,PM,GF,VF,WS,DT,GT,RW,CW,GW,HW,WW,nAcid,nH1,nS1,MATS1c,MATS2m,GATS2i,nBondsD,Kier2,khs.dNH,khs.aaN,TpiPC,MWC8,SRW3,ClassLabel
hsa:5143,D00371,0,0,0.001406,0.002813,0.008439,0.004219,0,0.001406,0.002813,0.002813,0.002813,0,0.007032,0,0,0,0,0,0,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0,Interactive
hsa:27032,D00544,0.002255,0,0,0.001127,0.011274,0.001127,0,0,0,0.001127,0.006764,0,0.002255,0.005637,0,0,0.002255,0,0,0.090909,0.027273,0,1,0.426349,0,0,0.017736,0,0,0.03065,0.160968,0,Interactive
hsa:6609,D00417,0.001587,0.001587,0.003175,0.001587,0.015873,0.006349,0,0,0,0.001587,0.003175,0.001587,0,0.004762,0.001587,0,0.001587,0.004762,0,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0,Interactive
hsa:1543,D00225,0,0.001957,0.001957,0,0.007828,0.009785,0.001957,0.001957,0,0.003914,0.005871,0.001957,0.007828,0,0.001957,0,0.001957,0,0,0.090909,0.109091,0,0.628885,0.426349,0,0.45,0.122891,0,0.5,0.675874,0.543375,0,Interactive
hsa:767,D00653,0,0,0.010381,0.00346,0.00692,0,0,0,0.00346,0,0.00346,0,0.00346,0,0,0,0,0.00692,0,0.090909,0.145455,0.375,0.447699,0.797341,0.521551,0.3,0.085692,0,0,0.537188,0.531535,0,Interactive
hsa:1551,D00410,0,0.001992,0.001992,0.005976,0.003984,0.00996,0.003984,0,0.001992,0.001992,0.007968,0,0.003984,0.001992,0,0,0,0,0,0.090909,0.118182,0,0.772193,0.57727,0.496911,0.35,0.10374,0,0.5,0.501018,0.428809,0,Interactive
hsa:5447,D00965,0,0,0,0,0.004418,0.002946,0.002946,0,0.001473,0.001473,0.004418,0.001473,0.001473,0.004418,0,0,0,0,0,0.090909,0.081818,0,0.355049,1,0.405338,0.3,0.113717,0,0,0.559243,0.547122,0,Interactive
hsa:2147,D03722,0,0.00161,0.003221,0.004831,0.008052,0.003221,0.00161,0,0,0.00161,0.004831,0,0,0.00161,0.003221,0,0.00161,0,0,0.090909,0.290909,0,0.439531,0.358069,0.671188,0.35,0.328042,0.5,0,0.470147,0.495337,0,Interactive
hsa:1543,D03778,0,0.001957,0.001957,0,0.007828,0.009785,0.001957,0.001957,0,0.003914,0.005871,0.001957,0.007828,0,0.001957,0,0.001957,0,0,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0,Interactive
hsa:2051,D01441,0.00098,0.002941,0,0.00098,0.007843,0.002941,0.00098,0,0,0.002941,0.00098,0.00098,0.004902,0.005882,0.001961,0,0.001961,0.00098,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:5332,D00501,0.000838,0.000838,0,0.003353,0.006706,0.006706,0,0,0.000838,0.003353,0.003353,0.000838,0.001676,0.001676,0,0.000838,0,0.000838,0,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0,Interactive
hsa:1585,D00380,0,0,0,0,0.003984,0.011952,0.001992,0,0.001992,0.001992,0.003984,0,0.001992,0.005976,0.005976,0,0,0,0,0.090909,0.154545,0.125,0.259416,0.604853,0.547681,0.3,0.151402,0,0,0.423869,0.383899,0,Interactive
hsa:1573,D01071,0,0.001996,0,0,0.005988,0.011976,0,0.003992,0.001996,0,0.001996,0,0.003992,0.005988,0.001996,0,0,0,0,0.090909,0.127273,0,0.377247,0.758204,0.453881,0.2,0.081928,0,0,0.384056,0.490437,0,Interactive
hsa:5515,D00107,0,0,0.003247,0,0.006494,0.006494,0,0,0.003247,0.003247,0.003247,0.003247,0.00974,0,0,0,0.003247,0,0,0.090909,0.618182,0,0.618324,0.516789,0.642413,0.35,0.558827,0,0,0.563976,0.690316,0,Interactive
hsa:5478,D00107,0,0.006098,0,0,0,0,0.006098,0,0,0.012195,0.012195,0,0,0.006098,0,0,0,0,0,0.090909,0.618182,0,0.618324,0.516789,0.642413,0.35,0.558827,0,0,0.563976,0.690316,0,Interactive
hsa:771,D00218,0.002833,0,0.002833,0.002833,0.011331,0.002833,0,0.002833,0,0.002833,0.002833,0.002833,0,0,0,0,0,0.002833,0,0.090909,0.045455,0.25,0.348597,0.854158,0.747726,0.25,0.05761,0,0.5,0.369015,0.344062,0,Interactive
hsa:43,D04292,0,0,0,0,0.006525,0.013051,0.003263,0,0.001631,0.006525,0.003263,0.003263,0.006525,0.003263,0.001631,0,0,0.001631,0,0.090909,0.190909,0,0.676179,0.507686,0.494681,0.2,0.090837,0,0,0.631973,0.594678,0,Interactive
hsa:5151,D01704,0.006614,0,0,0.003968,0.006614,0.005291,0,0,0.001323,0.003968,0.003968,0,0.003968,0,0,0,0,0,0,0.181818,0.218182,0,0.54067,0.460926,0.585824,0.2,0.18423,0,0,0.561466,0.528074,0,Interactive
hsa:377677,D00518,0,0,0.007663,0,0.003831,0.007663,0,0,0,0,0.003831,0,0.007663,0,0,0,0,0.011494,0,0.090909,0.045455,0.25,0.766041,0.426349,0,0.35,0.066289,0,0,0.445672,0.447429,0,Interactive
hsa:5332,D00417,0.000838,0.000838,0,0.003353,0.006706,0.006706,0,0,0.000838,0.003353,0.003353,0.000838,0.001676,0.001676,0,0.000838,0,0.000838,0,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0,Interactive
hsa:5595,D03736,0,0.002809,0,0,0.008427,0.005618,0.002809,0,0,0.002809,0,0.002809,0,0.002809,0.002809,0,0,0,0,0.090909,0.336364,0,0.55691,0.568946,0.587585,0.55,0.321954,0,0.25,0.677257,0.613187,0,Interactive
hsa:476,D00654,0.000978,0.000978,0,0,0.007828,0.006849,0.002935,0.000978,0,0.004892,0.003914,0,0.001957,0.004892,0.000978,0,0.000978,0,0.000978,0.090909,0.063636,0.25,0.349692,0.305126,0.344299,0.35,0.084238,0,0,0.576975,0.539527,0,Interactive
hsa:613,D01441,0,0.000787,0.000787,0,0.003937,0.006299,0.001575,0,0.000787,0.00315,0.002362,0.001575,0.000787,0.002362,0.000787,0,0,0,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:5149,D01198,0,0,0,0,0.012195,0,0.012195,0,0,0.012195,0,0,0,0.012195,0,0,0,0,0,0.090909,0.2,0,0.569392,0.422411,0.538671,0.45,0.253651,0,0,0.609913,0.497171,0,Interactive
hsa:1577,D00437,0,0,0.001996,0.003992,0.005988,0.011976,0.001996,0,0,0.003992,0.005988,0,0.005988,0.00998,0,0,0,0,0,0.090909,0.154545,0,0.513685,0.77127,0.498282,0.4,0.197016,0,0,0.600503,0.551398,0,Interactive
hsa:5743,D00377,0.001658,0.001658,0.001658,0.003317,0.008292,0.004975,0,0,0,0.006633,0.001658,0,0.003317,0,0,0,0,0.001658,0,0.181818,0.054545,0,0.381507,0.576309,0.662489,0.2,0.046404,0,0,0.345363,0.288155,0,Interactive
hsa:5151,D00528,0.006614,0,0,0.003968,0.006614,0.005291,0,0,0.001323,0.003968,0.003968,0,0.003968,0,0,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:5742,D00463,0,0.001672,0.001672,0.005017,0.010033,0.010033,0.001672,0,0.001672,0.003344,0.001672,0,0,0.003344,0.001672,0,0,0.001672,0,0.181818,0.127273,0,0.451393,0.423829,0.626253,0.45,0.168592,0,0.25,0.73574,0.48054,0,Interactive
hsa:2155,D02335,0,0.002151,0.004301,0.004301,0.002151,0.002151,0,0,0,0,0.002151,0,0,0.008602,0,0,0.002151,0,0,0.090909,0.063636,0,0.646877,0.629073,0.483585,0.3,0.0472,0,0,0.511896,0.400832,0,Interactive
hsa:5650,D00160,0.005556,0,0.011111,0.005556,0.005556,0,0,0,0,0,0,0,0.011111,0.022222,0,0,0.005556,0,0,0.181818,0.118182,0,0.329607,0.304101,0.807379,0.05,0.113429,0,0,0.078214,0,0,Interactive
hsa:64816,D00380,0.001988,0,0.001988,0.005964,0.007952,0.013917,0.001988,0,0.003976,0.001988,0.005964,0,0.001988,0.005964,0,0,0,0,0,0.090909,0.154545,0.125,0.259416,0.604853,0.547681,0.3,0.151402,0,0,0.423869,0.383899,0,Interactive
hsa:108,D00002,0.000917,0,0.001835,0.000917,0.007339,0.008257,0,0.001835,0.000917,0.000917,0.004587,0.000917,0.000917,0.001835,0,0,0,0,0,0.090909,0.227273,0,0.401897,0.531784,0.534885,0.5,0.328674,0,0.75,0.621701,0.669261,0,Interactive
hsa:5149,D01712,0,0,0,0,0.012195,0,0.012195,0,0,0.012195,0,0,0,0.012195,0,0,0,0,0,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0,Interactive
hsa:57176,D00039,0.001085,0.001085,0.002169,0.002169,0.010846,0.004338,0,0,0.003254,0.001085,0,0.001085,0.002169,0.007592,0.001085,0.001085,0.002169,0.002169,0.001085,0.181818,0.1,0,0.266339,0.681727,0.769539,0.05,0.033426,0,0,0.052449,0.105566,0,Interactive
hsa:1557,D00960,0.00409,0,0,0.002045,0.00409,0.010225,0.002045,0.002045,0,0.00409,0.00409,0,0.002045,0.006135,0.002045,0,0,0,0,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0,Interactive
hsa:1844,D00184,0,0.003195,0,0,0.009585,0.009585,0,0,0,0.009585,0,0,0,0.003195,0,0,0,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:64816,D00410,0.001988,0,0.001988,0.005964,0.007952,0.013917,0.001988,0,0.003976,0.001988,0.005964,0,0.001988,0.005964,0,0,0,0,0,0.090909,0.118182,0,0.772193,0.57727,0.496911,0.35,0.10374,0,0.5,0.501018,0.428809,0,Interactive
hsa:5657,D00160,0,0,0.007843,0,0,0.003922,0,0,0,0,0.003922,0,0,0.007843,0,0,0.003922,0,0,0.181818,0.118182,0,0.329607,0.304101,0.807379,0.05,0.113429,0,0,0.078214,0,0,Interactive
hsa:3156,D00434,0,0,0,0.001127,0.006764,0.003382,0.003382,0.001127,0.002255,0.001127,0.002255,0,0.003382,0.006764,0.001127,0,0.001127,0,0,0.090909,0.336364,0,0.481666,0.580086,0.622908,0.2,0.224052,0,0,0.515681,0.566567,0,Interactive
hsa:7294,D01441,0.001901,0.001901,0,0,0.005703,0.003802,0.003802,0,0.001901,0.003802,0.007605,0.003802,0,0,0,0.001901,0,0.001901,0.001901,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:1969,D03350,0.002051,0.002051,0.001026,0.001026,0.005128,0.002051,0.004103,0.001026,0.002051,0.006154,0,0.002051,0.002051,0.002051,0.002051,0.002051,0.002051,0,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:240,D00118,0.001486,0,0,0.002972,0.002972,0.005944,0.004458,0.001486,0,0.002972,0.001486,0,0.001486,0.001486,0.002972,0.001486,0,0.001486,0,0.181818,0.118182,0,0.499255,0.576234,0.454522,0.3,0.10374,0,0,0.627641,0.424169,0,Interactive
hsa:7298,D01211,0,0.00641,0,0,0.00641,0.003205,0.003205,0,0,0.00641,0.00641,0,0.003205,0.00641,0,0,0,0,0,0.272727,0.209091,0,0.342102,0.451468,0.688999,0.55,0.309641,0,0,0.602534,0.563516,0,Interactive
hsa:5495,D00184,0.006135,0,0,0.003067,0.009202,0.006135,0.003067,0,0,0.003067,0,0.003067,0.003067,0,0,0,0.003067,0,0,0.090909,1,0,0.447,0.677396,0.65579,0.6,1,0,0,0.555928,0.739405,0,Interactive
hsa:1577,D00528,0,0,0.001996,0.003992,0.005988,0.011976,0.001996,0,0,0.003992,0.005988,0,0.005988,0.00998,0,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:306,D00528,0,0,0.003106,0,0,0.003106,0,0,0,0,0.003106,0,0.003106,0.015528,0.003106,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:1586,D03784,0,0.001972,0,0.001972,0,0.009862,0,0.001972,0.001972,0.001972,0.003945,0,0.001972,0.005917,0,0,0,0.001972,0,0.090909,0.109091,0,0.630041,0.426349,0,0.45,0.132863,0,0.5,0.637275,0.516051,0,Interactive
hsa:1543,D02451,0,0.001957,0.001957,0,0.007828,0.009785,0.001957,0.001957,0,0.003914,0.005871,0.001957,0.007828,0,0.001957,0,0.001957,0,0,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0,Interactive
hsa:51004,D00528,0.002141,0,0.002141,0,0.006424,0.002141,0,0,0.002141,0.002141,0,0.006424,0.006424,0,0.002141,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:4914,D03350,0,0.001318,0,0.001318,0.017128,0.00527,0.002635,0.001318,0,0,0.003953,0.001318,0.002635,0,0.00527,0.002635,0.001318,0.001318,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:1573,D00410,0,0.001996,0,0,0.005988,0.011976,0,0.003992,0.001996,0,0.001996,0,0.003992,0.005988,0.001996,0,0,0,0,0.090909,0.118182,0,0.772193,0.57727,0.496911,0.35,0.10374,0,0.5,0.501018,0.428809,0,Interactive
hsa:2066,D03350,0.003098,0.000775,0.001549,0.000775,0.006971,0.004648,0.001549,0,0.000775,0.001549,0.002324,0.000775,0.001549,0.006197,0,0.002324,0,0.000775,0,0.090909,0.227273,0,0.597117,0.426349,0,0.5,0.309641,0,0.5,0.674883,0.558695,0,Interactive
hsa:5142,D02655,0,0.001776,0.001776,0.003552,0.003552,0.003552,0.001776,0.001776,0.001776,0.003552,0.001776,0,0.005329,0.001776,0,0,0,0,0,0.090909,0.163636,0,0.67359,0.815991,0.670001,0.3,0.16379,0,0.5,0.647224,0.488483,0,Interactive
hsa:5144,D02731,0.001238,0,0.001238,0.002475,0.00495,0.003713,0.001238,0.001238,0.00495,0.002475,0.002475,0,0.007426,0.001238,0,0,0,0,0,0.090909,0.290909,0.125,0.554619,0.714635,0.632614,0.45,0.258454,0,0.25,0.67329,0.62331,0,Interactive
hsa:1595,D03670,0,0,0.001969,0,0.005906,0.007874,0.003937,0,0,0.003937,0.007874,0.001969,0,0,0,0,0.001969,0,0,0.090909,0.436364,0,0.534911,0.392058,0.798422,0.25,0.63277,0,0,0.368364,0.431334,0,Interactive
hsa:1557,D00139,0.00409,0,0,0.002045,0.00409,0.010225,0.002045,0.002045,0,0.00409,0.00409,0,0.002045,0.006135,0.002045,0,0,0,0,0.090909,0.063636,0,0.567225,0.577553,0.441599,0.3,0.066289,0,0,0.664624,0.478889,0,Interactive
hsa:1580,D00394,0,0.001961,0,0.001961,0.007843,0.013725,0,0.001961,0,0.007843,0.003922,0,0.005882,0,0,0,0,0.001961,0,0.090909,0.236364,0,0.844228,0.464265,0.544478,0.3,0.155595,0,0,0.623751,0.49652,0,Interactive
hsa:50940,D02042,0,0.002049,0,0,0.004098,0,0.002049,0,0.002049,0.004098,0,0,0,0.004098,0.002049,0,0,0,0,0.090909,0.081818,0,0.579592,0.583484,0.534743,0.35,0.104271,0,0.25,0.678028,0.483199,0,Interactive
hsa:1545,D00960,0,0.001845,0,0,0.00369,0.009225,0,0,0,0,0.005535,0.001845,0.00369,0.001845,0,0,0,0.001845,0,0.090909,0.163636,0,0.70987,0.792168,0.390333,0.25,0.143728,0,0.5,0.59958,0.494537,0,Interactive
hsa:1573,D03784,0,0.001996,0,0,0.005988,0.011976,0,0.003992,0.001996,0,0.001996,0,0.003992,0.005988,0.001996,0,0,0,0,0.090909,0.109091,0,0.630041,0.426349,0,0.45,0.132863,0,0.5,0.637275,0.516051,0,Interactive
hsa:5606,D01441,0,0,0.003155,0,0,0,0,0,0,0,0,0.003155,0.003155,0.006309,0,0,0,0,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:1562,D02451,0.00409,0,0,0,0.00818,0.01227,0.002045,0.002045,0,0,0.002045,0,0,0.00409,0.002045,0,0,0,0,0.090909,0.109091,0,0.694454,0.335392,0.544866,0.25,0.092205,0,0.25,0.582926,0.449793,0,Interactive
hsa:5136,D00371,0,0,0,0,0.005618,0.001873,0.001873,0.001873,0,0.001873,0.003745,0.001873,0.001873,0.001873,0.003745,0,0,0.001873,0,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0,Interactive
hsa:3815,D01441,0,0.001026,0,0.001026,0.003077,0.006154,0.004103,0.001026,0.002051,0.005128,0.003077,0.001026,0.001026,0.004103,0,0.001026,0,0,0,0.090909,0.272727,0,0.555772,0.464794,0.533064,0.65,0.324126,0,0.75,0.722576,0.569741,0,Interactive
hsa:4353,D00401,0.001344,0,0.001344,0,0.009409,0.001344,0.001344,0,0.002688,0.002688,0.004032,0,0.002688,0.004032,0.002688,0.001344,0.001344,0,0.001344,0.090909,0.045455,0.125,0.48259,0.649041,0.500294,0.1,0,0,0,0.132293,0.14933,0,Interactive
hsa:5601,D03115,0,0.004149,0,0.004149,0.004149,0,0.004149,0.004149,0,0,0.004149,0.004149,0.004149,0.004149,0,0,0,0,0,0.090909,0.154545,0.125,0.57264,0.527812,0.540902,0.35,0.120883,0,0.25,0.633044,0.497119,0,Interactive
hsa:759,D00294,0,0,0.007692,0.003846,0.003846,0,0,0,0.003846,0,0,0.003846,0.003846,0,0,0,0,0.007692,0,0.090909,0.054545,0.125,0.610881,0.426349,0,0.3,0.044778,0,0,0.505335,0.436864,0,Interactive
hsa:5136,D01133,0,0,0,0,0.005618,0.001873,0.001873,0.001873,0,0.001873,0.003745,0.001873,0.001873,0.001873,0.003745,0,0,0.001873,0,0.090909,0.154545,0,0.575005,0.580351,0.594208,0.45,0.161475,0,0.25,0.787425,0.538889,0,Interactive
hsa:5754,D04025,0.000929,0.000929,0,0.001857,0.0065,0.002786,0.000929,0,0,0,0.0065,0,0.000929,0.005571,0.000929,0.000929,0,0,0.000929,0.090909,0.2,0,0.578911,0.491831,0.44763,0.55,0.309641,0,0.75,0.652575,0.525068,0,Interactive
hsa:5146,D00501,0.001167,0,0,0.001167,0.004667,0.002334,0,0,0.002334,0.003501,0.003501,0.002334,0.001167,0.002334,0.001167,0,0.003501,0.001167,0,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0,Interactive
hsa:1576,D00528,0,0,0.001996,0.003992,0.003992,0.013972,0.003992,0,0,0.005988,0.005988,0,0.003992,0.003992,0,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:5140,D02017,0.0027,0.0018,0.0009,0.0018,0.009001,0.007201,0,0,0,0.0018,0,0.0018,0.0036,0.0027,0.0009,0,0,0,0.0027,0.090909,0.063636,0,0.343,0.897697,0.336963,0.2,0.038242,0,0.25,0.431112,0.432902,0,Interactive
hsa:2147,D03728,0,0.00161,0.003221,0.004831,0.008052,0.003221,0.00161,0,0,0.00161,0.004831,0,0,0.00161,0.003221,0,0.00161,0,0,0.181818,0.3,0.125,0.417645,0.446438,0.61666,0.55,0.334427,0.5,0,0.603782,0.603877,1,Interactive
hsa:5096,D00029,0.001859,0,0,0.001859,0.003717,0.003717,0.001859,0,0,0.005576,0.003717,0,0.005576,0.001859,0,0,0,0,0,0.181818,0.136364,0.125,0.274272,0.297117,0.699691,0.1,0.098369,0,0,0.326311,0.406361,0,Interactive
hsa:5136,D00417,0,0,0,0,0.005618,0.001873,0.001873,0.001873,0,0.001873,0.003745,0.001873,0.001873,0.001873,0.003745,0,0,0.001873,0,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0,Interactive
hsa:8622,D02229,0.006353,0,0,0.002541,0.006353,0.005083,0,0,0.002541,0.002541,0.005083,0,0.002541,0.001271,0,0,0,0.001271,0.001271,0.090909,0.272727,0.125,0.592014,0.708517,0.592143,0.45,0.241444,0,0.25,0.683571,0.619997,0,Interactive
hsa:1545,D00437,0,0.001845,0,0,0.00369,0.009225,0,0,0,0,0.005535,0.001845,0.00369,0.001845,0,0,0,0.001845,0,0.090909,0.154545,0,0.513685,0.77127,0.498282,0.4,0.197016,0,0,0.600503,0.551398,0,Interactive
hsa:55512,D00528,0.001529,0.001529,0,0.003058,0.007645,0.006116,0,0,0,0.001529,0.001529,0.001529,0.003058,0.003058,0,0,0,0,0,0.090909,0.081818,0,0.377391,0.983281,0.269295,0.2,0.044778,0,0.25,0.451708,0.461603,0,Interactive
hsa:5140,D01690,0.0027,0.0018,0.0009,0.0018,0.009001,0.007201,0,0,0,0.0018,0,0.0018,0.0036,0.0027,0.0009,0,0,0,0.0027,0.090909,0.218182,0,0.589925,0.51195,0.555986,0.4,0.218413,0,0,0.608567,0.553264,0,Interactive
hsa:4916,D01977,0.001637,0,0,0.006547,0.006547,0.003273,0.00491,0,0,0.00491,0.001637,0,0.00491,0.001637,0.001637,0,0,0.001637,0,0.090909,0.218182,0,0.601043,0.426349,0,0.4,0.267346,0,0.5,0.657047,0.544301,0,Interactive
hsa:29920,D00035,0,0.003135,0,0.003135,0.00627,0.00627,0,0,0,0.012539,0,0,0,0.003135,0,0,0,0,0,0.181818,0.081818,0,0.368125,0.336971,0.852326,0.05,0.017736,0,0,0.110863,0.168956,0,Interactive
hsa:55775,D00417,0,0.001647,0.003295,0.00659,0.003295,0.003295,0,0,0.001647,0,0,0.001647,0.001647,0.008237,0.001647,0,0.001647,0,0,0.090909,0.072727,0,0.624491,0.569499,0.526602,0.3,0.098369,0,0.25,0.541595,0.408888,0,Interactive
hsa:4837,D00049,0,0,0,0,0.003802,0.003802,0,0,0,0.007605,0,0.003802,0.003802,0,0,0,0,0,0,0.181818,0.036364,0,0.437814,0.284322,0.587962,0.2,0.036839,0,0.25,0.292235,0.180223,0,Interactive
hsa:1312,D00786,0,0,0.007407,0.003704,0.014815,0.011111,0,0,0,0,0.003704,0,0.014815,0.003704,0,0,0.007407,0.007407,0,0.090909,0.090909,0,0.587078,0.627282,0.567743,0.4,0.132408,0,0,0.592776,0.463886,0,Interactive
hsa:5742,D02709,0,0.001672,0.001672,0.005017,0.010033,0.010033,0.001672,0,0.001672,0.003344,0.001672,0,0,0.003344,0.001672,0,0,0.001672,0,0.090909,0.118182,0.125,0.50311,0.449068,0.546578,0.5,0.132863,0,0.25,0.75551,0.512658,0,Interactive
hsa:199974,D01425,0,0,0,0,0.003968,0.005952,0,0,0,0.001984,0.009921,0,0.003968,0,0.003968,0,0,0.001984,0,0.090909,0.427273,0,0.465083,0.456943,0.630209,0.6,0.481735,0,0,0.578448,0.599415,0,Interactive
hsa:1610,D00038,0,0,0.00289,0.00289,0.011561,0.00289,0,0,0,0.00578,0,0.00578,0.00289,0.00289,0,0,0.00289,0.00289,0,0.181818,0.045455,0,0.343842,0.300349,0.59301,0.2,0.036839,0,0,0.292235,0.180223,0,Interactive
hsa:4907,D00501,0.001912,0,0,0,0.003824,0.007648,0,0,0,0.003824,0.001912,0,0,0.003824,0,0,0,0,0,0.090909,0.154545,0,0.42281,0.761614,0.468881,0.25,0.132408,0,0.25,0.492735,0.494573,0,Interactive
hsa:8622,D01198,0.006353,0,0,0.002541,0.006353,0.005083,0,0,0.002541,0.002541,0.005083,0,0.002541,0.001271,0,0,0,0.001271,0.001271,0.090909,0.2,0,0.569392,0.422411,0.538671,0.45,0.253651,0,0,0.609913,0.497171,0,Interactive
hsa:1580,D03781,0,0.001961,0,0.001961,0.007843,0.013725,0,0.001961,0,0.007843,0.003922,0,0.005882,0,0,0,0,0.001961,0,0.090909,0.109091,0,0.630041,0.426349,0,0.45,0.132863,0,0.5,0.637275,0.516051,0,Interactive
