Protein,Drug,LN,ED,DC,MH,GI,CL,VL,CT,CW,MY,VY,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5,ClassLabel
hsa:1813,D00494,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,Interactive
hsa:2918,D00775,0.001103,0.002205,0,0.001103,0.003308,0,0.002205,0.002205,0.001103,0.002205,0.00441,0,0.0625,0.477209,0.732816,0,0.117647,0.244073,0,0.25,0.151786,0.449174,0.810596,0.452078,0.190077,Interactive
hsa:3360,D00451,0.005168,0,0,0,0.002584,0.005168,0.01292,0,0.007752,0,0.002584,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:1131,D01871,0.001698,0.001698,0,0,0.001698,0,0.005093,0,0,0,0,0,0,0.590039,0.707473,0,0.058824,0.168997,0,0,0.097143,0.618225,0,0.608656,0.109602,Interactive
hsa:5737,D01964,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0.375,0.557205,0.636373,0.125,0.176471,0.456535,0,0,0.472222,0.642379,0.832296,0.642813,0,Interactive
hsa:150,D00454,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,Interactive
hsa:154,D05792,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.25,0.596503,0.688981,0,0.294118,0.469605,0,0,0.626728,0.509683,0,0.501422,0.101928,Interactive
hsa:2912,D00775,0.002296,0.002296,0.003444,0.001148,0.003444,0.004592,0.008037,0.002296,0.001148,0.001148,0.001148,0,0.0625,0.477209,0.732816,0,0.117647,0.244073,0,0.25,0.151786,0.449174,0.810596,0.452078,0.190077,Interactive
hsa:3269,D01324,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0,0.576323,0.678078,0,0.058824,0.168997,0,0,0.089947,0.672184,0,0.675359,0.240937,Interactive
hsa:151,D00563,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053,Interactive
hsa:3356,D02361,0.004255,0.002128,0.002128,0.002128,0.004255,0.006383,0.006383,0,0,0,0.002128,0,0.0625,0.511845,0.636816,0,0.058824,0.121884,0,0,0.233516,0.638662,0,0.6257,0.222457,Interactive
hsa:3351,D05740,0.002571,0.002571,0,0,0.002571,0,0.002571,0.005141,0.005141,0.002571,0.007712,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651,Interactive
hsa:155,D02150,0.002457,0,0,0,0,0,0.012285,0.002457,0.002457,0,0.002457,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,Interactive
hsa:3358,D00513,0.006565,0,0,0.002188,0.006565,0.002188,0.013129,0,0,0,0.002188,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:6915,D00336,0.002924,0,0,0,0.005848,0,0.011696,0,0.002924,0,0.005848,0,0.3125,0.580076,0.613592,0.125,0.176471,0.45076,0,0,0.381633,0.653161,0,0.657719,0.306048,Interactive
hsa:147,D00513,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:1909,D01227,0.003155,0,0,0.003155,0.003155,0.009464,0.003155,0.006309,0.003155,0,0.003155,0,0.375,0.497719,0.460137,0.75,0.117647,0.355015,0,0,0.318027,0.764841,0,0.764599,0.5318,Interactive
hsa:185,D00523,0.00838,0.002793,0.005587,0,0.00838,0.005587,0.005587,0,0,0,0.002793,0.666667,0.0625,0.532656,0.635905,0.375,0.058824,0.240729,0,0,0.236111,0.752403,0.938181,0.739205,0.636729,Interactive
hsa:152,D00609,0.004338,0,0,0,0.002169,0.002169,0.010846,0.002169,0.002169,0,0.004338,0,0.25,0.655386,0.392985,0.375,0.117647,0.244073,0,0,0.195853,0.685024,0.749822,0.676429,0.538856,Interactive
hsa:4988,D05113,0.002506,0,0.002506,0,0,0.002506,0.007519,0.007519,0.002506,0.002506,0,0,0.25,0.480284,0.764638,0,0.176471,0.28845,0,0.75,0.080952,0.866308,0.942454,0.867502,0.119761,Interactive
hsa:148,D00509,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.0625,0.643778,0.615791,0.125,0.117647,0.337386,0,0,0.21118,0.53009,0.745791,0.512202,0.326176,Interactive
hsa:153,D02358,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557,Interactive
hsa:3352,D00513,0.013298,0,0.00266,0,0.00266,0.00266,0.013298,0.00266,0.005319,0,0,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:1128,D02354,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0,0.571418,0.667888,0,0.117647,0.074772,0,0,0.242857,0.652511,0,0.64354,0.347816,Interactive
hsa:3355,D00283,0.008219,0.00274,0,0,0.00274,0,0.008219,0.00274,0.00274,0,0.00274,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:5731,D02725,0.002494,0,0,0,0.002494,0,0.007481,0,0.002494,0,0.002494,0,0.4375,0.556506,0.597628,0.125,0.176471,0.277204,0,0,0.478355,0.592409,0.832296,0.591142,0.097227,Interactive
hsa:1128,D00274,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0.25,0.580076,0.613592,0.125,0.235294,0.261702,0,0,0.357143,0.649025,0,0.64574,0.308255,Interactive
hsa:3362,D00454,0.004556,0,0.002278,0,0.004556,0.004556,0.01139,0.002278,0,0,0,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,Interactive
hsa:148,D02149,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:152,D01022,0.004338,0,0,0,0.002169,0.002169,0.010846,0.002169,0.002169,0,0.004338,0,0.0625,0.634433,0.67095,0.125,0.176471,0.335258,0,0,0.182143,0.552917,0.745791,0.556785,0.204636,Interactive
hsa:1133,D02361,0.001883,0.003766,0,0,0.003766,0.001883,0.007533,0,0.001883,0,0.001883,0,0.0625,0.511845,0.636816,0,0.058824,0.121884,0,0,0.233516,0.638662,0,0.6257,0.222457,Interactive
hsa:1128,D00540,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0.1875,0.512764,0.561815,0.125,0.058824,0.197872,0,0,0.242857,0.636102,0.866544,0.637693,0.115336,Interactive
hsa:147,D00607,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0.125,0.563942,0.55634,0,0.235294,0.202128,0,0,0.227679,0.428142,0.812953,0.427935,0.261615,Interactive
hsa:148,D00609,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.25,0.655386,0.392985,0.375,0.117647,0.244073,0,0,0.195853,0.685024,0.749822,0.676429,0.538856,Interactive
hsa:150,D00513,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:5732,D00180,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0.333333,0.3125,0.531218,0.70376,0.125,0.176471,0.374772,0,0,0.631429,0.485136,0.832296,0.463683,0,Interactive
hsa:147,D02356,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0.25,0.569298,0.443989,0,0.058824,0.168997,0,0,0.464286,0.673047,0,0.675443,0.194012,Interactive
hsa:150,D02349,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.3125,0.533677,0.536004,0.25,0.176471,0.199696,0,0,0.437143,0.571715,0,0.582646,0.092087,Interactive
hsa:1813,D00059,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0.333333,0.25,0.712807,1,0.125,0.352941,0.527356,0,0,0.260204,0.326448,0,0.330113,0.084165,Interactive
hsa:150,D00255,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,Interactive
hsa:9934,D03881,0.005935,0,0,0,0.002967,0.002967,0.005935,0,0,0.002967,0,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814,NonInteractive
hsa:4985,D00688,0.002695,0,0,0,0.002695,0,0.013477,0.002695,0.002695,0,0,0,0.1875,0.538362,0.773965,0,0.294118,0.529787,0,0,0.303571,0.380425,0,0.393177,0.097921,NonInteractive
hsa:2918,D02149,0.001103,0.002205,0,0.001103,0.003308,0,0.002205,0.002205,0.001103,0.002205,0.00441,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:2914,D01352,0,0.003293,0,0.002195,0.005488,0.002195,0.005488,0.003293,0.001098,0.001098,0.003293,0.333333,0.3125,0.542518,0.733816,0.125,0.235294,0.66231,0,0,0.582857,0.485136,0.832296,0.463683,0,NonInteractive
hsa:2916,D06396,0,0.003425,0,0.001142,0.003425,0.001142,0.005708,0.002283,0.001142,0.001142,0.002283,0,0.125,0.580076,0.613592,0.125,0.235294,0.355927,0,0,0.202381,0.586292,0,0.586283,0.308286,NonInteractive
hsa:2916,D00598,0,0.003425,0,0.001142,0.003425,0.001142,0.005708,0.002283,0.001142,0.001142,0.002283,0,0.1875,0.593604,0.577018,0,0.176471,0.172644,0,0,0.580745,0.43315,0.844242,0.4433,0.097559,NonInteractive
hsa:2917,D00235,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0,0.1875,0.658052,0.646357,0.125,0.294118,0.31003,0,0,0.511278,0.356605,0,0.343322,0.179076,NonInteractive
hsa:2911,D00514,0.001676,0.002515,0,0.001676,0.004191,0.002515,0.005029,0.004191,0.001676,0.001676,0.001676,0,0,0.421619,0.601811,0.125,0.058824,0.294529,0,0,0.151786,0.435459,0.749822,0.429822,0.202873,NonInteractive
hsa:2911,D00542,0.001676,0.002515,0,0.001676,0.004191,0.002515,0.005029,0.004191,0.001676,0.001676,0.001676,0,0,0.580076,0.613592,0,0,0.174772,0,0,0.202381,0,0,0.081764,0,NonInteractive
hsa:554,D00440,0.002703,0,0.002703,0,0.002703,0.002703,0.016216,0.005405,0.005405,0.002703,0.002703,0,0.125,0.555571,0.69008,0.5,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.50414,NonInteractive
hsa:1241,D00480,0.008547,0,0,0,0.002849,0,0.025641,0,0,0.002849,0,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,NonInteractive
hsa:5737,D00563,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053,NonInteractive
hsa:3351,D00509,0.002571,0.002571,0,0,0.002571,0,0.002571,0.005141,0.005141,0.002571,0.007712,0,0.0625,0.643778,0.615791,0.125,0.117647,0.337386,0,0,0.21118,0.53009,0.745791,0.512202,0.326176,NonInteractive
hsa:10161,D00559,0.002915,0,0,0,0,0,0.011662,0.002915,0,0.005831,0.005831,0,0,0.534397,0.783136,0,0.235294,0.244073,0,0.25,0.242857,0.399964,0.810596,0.385548,0.292451,NonInteractive
hsa:7201,D02279,0.015113,0,0,0,0.005038,0.005038,0.010076,0.002519,0,0,0.002519,0.333333,0.125,0.59863,0.805802,0.125,0.411765,0.273556,0,0,0.674603,0.005797,0,0,0.165245,NonInteractive
hsa:155,D05246,0.002457,0,0,0,0,0,0.012285,0.002457,0.002457,0,0.002457,1,0.1875,0.543028,0.684059,0.375,0.176471,0.524316,0,0,0.269841,0.747268,0.887006,0.732031,0.63631,NonInteractive
hsa:8843,D00635,0.002591,0,0,0,0.005181,0.007772,0.007772,0,0,0,0.005181,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557,NonInteractive
hsa:135,D03880,0.004866,0.002433,0.002433,0,0.002433,0.004866,0.024331,0,0.007299,0.002433,0.007299,0.333333,0.75,0.568231,0.782686,0.125,0.529412,0.657447,0,0,0.404762,0.580667,0,0.576774,0,NonInteractive
hsa:6753,D02327,0.004796,0.004796,0,0,0.002398,0.004796,0.014388,0,0.002398,0,0.004796,0,0.0625,0.574616,0.497653,0.125,0.058824,0.121884,0,0,0.346939,0.511486,0,0.508838,0.204853,NonInteractive
hsa:1268,D04040,0.004246,0.004246,0.002123,0,0,0.006369,0.016985,0,0.002123,0.002123,0.006369,0.666667,0.25,0.549475,0.704043,0.625,0.117647,0.526444,0,0,0.379464,0.633635,0.865047,0.612515,0.227005,NonInteractive
hsa:338442,D02070,0.002762,0,0,0,0.005525,0.008287,0.005525,0,0,0,0.005525,0,0.1875,0.511667,0.556108,0.125,0.058824,0.197872,0,0,0.21118,0.603721,0.852335,0.614672,0.118617,NonInteractive
hsa:2917,D00422,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0,0.1875,0.555874,0.593262,0.25,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.399318,NonInteractive
hsa:6753,D02359,0.004796,0.004796,0,0,0.002398,0.004796,0.014388,0,0.002398,0,0.004796,0,0.1875,0.652462,0.810602,0,0.294118,0.529787,0,0,0.331169,0.4617,0,0.461001,0.101604,NonInteractive
hsa:7201,D00838,0.015113,0,0,0,0.005038,0.005038,0.010076,0.002519,0,0,0.002519,0,0.0625,0.516497,0.833219,0,0.235294,0.334043,0,0,0,0.604291,0,0.602599,0.087698,NonInteractive
hsa:1268,D02150,0.004246,0.004246,0.002123,0,0,0.006369,0.016985,0,0.002123,0.002123,0.006369,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,NonInteractive
hsa:9052,D00225,0,0.005618,0,0,0.008427,0.002809,0.014045,0,0,0,0,0,0,0.580076,0.613592,0.25,0,0.168997,0,0,0.048571,0.649189,0.836199,0.618994,0.43607,NonInteractive
hsa:3363,D00675,0.002252,0,0,0.002252,0.006757,0.004505,0.002252,0.002252,0.002252,0.002252,0,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651,NonInteractive
hsa:5732,D00380,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0,0.1875,0.165134,0.508832,0,0.117647,0.338906,0,0,0.472222,0.412492,0,0.418801,0.199733,NonInteractive
hsa:1812,D01352,0.008989,0.002247,0,0,0.002247,0,0.006742,0,0.002247,0,0.002247,0.333333,0.3125,0.542518,0.733816,0.125,0.235294,0.66231,0,0,0.582857,0.485136,0.832296,0.463683,0,NonInteractive
hsa:6010,D00295,0.005764,0,0,0,0.002882,0,0.008646,0,0.002882,0,0,0,0,0.570397,0.596772,0,0.176471,0.347416,0,0,0.5,0.30961,0.77794,0.29419,0.579022,NonInteractive
hsa:5732,D01242,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,NonInteractive
hsa:5731,D00411,0.002494,0,0,0,0.002494,0,0.007481,0,0.002494,0,0.002494,0,0.375,0.58243,0.530829,0.25,0.117647,0.217629,0,0.25,0.296825,0.795336,0.881884,0.792829,0.318421,NonInteractive
hsa:6752,D02082,0.013587,0,0,0,0.005435,0.008152,0.008152,0.002717,0.002717,0,0,0.666667,0.25,0.549475,0.704043,0.625,0.117647,0.526444,0,0,0.379464,0.633635,0.865047,0.612515,0.227005,NonInteractive
hsa:6010,D03274,0.005764,0,0,0,0.002882,0,0.008646,0,0.002882,0,0,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.21118,0.583729,0,0.572447,0.222951,NonInteractive
hsa:185,D00255,0.00838,0.002793,0.005587,0,0.00838,0.005587,0.005587,0,0,0,0.002793,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,NonInteractive
hsa:1128,D01242,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,NonInteractive
hsa:1816,D05740,0.010504,0.002101,0.002101,0,0,0.002101,0.004202,0,0.002101,0,0,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651,NonInteractive
hsa:1815,D00465,0.004785,0.002392,0.007177,0,0,0,0.011962,0.002392,0.002392,0,0.004785,0,0.1875,0.542888,0.586987,0.125,0.117647,0.197872,0,0,0.359788,0.585418,0,0.581597,0.109074,NonInteractive
hsa:3357,D02066,0,0,0,0.002083,0.010417,0,0.010417,0,0,0.002083,0.002083,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,NonInteractive
hsa:5737,D05938,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0.125,0.514128,0.598911,0.25,0.058824,0.168997,0,0,0.376847,0.638209,0.745791,0.626005,0.237053,NonInteractive
hsa:5739,D00676,0,0.002597,0,0,0.002597,0.007792,0.005195,0,0,0.002597,0,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,NonInteractive
hsa:3363,D00095,0.002252,0,0,0.002252,0.006757,0.004505,0.002252,0.002252,0.002252,0.002252,0,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:1812,D01071,0.008989,0.002247,0,0,0.002247,0,0.006742,0,0.002247,0,0.002247,0,0.1875,0.47589,0.538091,0.25,0.058824,0.401216,0,0,0.06746,0.564737,0,0.578864,0.208144,NonInteractive
hsa:1814,D03415,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284,NonInteractive
hsa:9934,D03880,0.005935,0,0,0,0.002967,0.002967,0.005935,0,0,0.002967,0,0.333333,0.75,0.568231,0.782686,0.125,0.529412,0.657447,0,0,0.404762,0.580667,0,0.576774,0,NonInteractive
hsa:2914,D01717,0,0.003293,0,0.002195,0.005488,0.002195,0.005488,0.003293,0.001098,0.001098,0.003293,0.333333,0.125,0.588677,0.691953,0.125,0.117647,0.34772,0,0,0.142857,0.752795,0,0.760918,0.20435,NonInteractive
hsa:2914,D00180,0,0.003293,0,0.002195,0.005488,0.002195,0.005488,0.003293,0.001098,0.001098,0.003293,0.333333,0.3125,0.531218,0.70376,0.125,0.176471,0.374772,0,0,0.631429,0.485136,0.832296,0.463683,0,NonInteractive
hsa:5029,D01164,0.005319,0.007979,0,0,0,0.007979,0.026596,0,0,0,0.00266,0,0.125,0.580076,0.613592,0.125,0.117647,0.047112,0,0,0.257576,0.648092,0,0.649731,0.340403,NonInteractive
hsa:4543,D00110,0.008596,0,0,0,0.002865,0.002865,0.020057,0.005731,0.002865,0,0.002865,0,0.25,0.575546,0.519772,0.25,0.058824,0.168997,0,0,0.252976,0.614018,0.834264,0.602789,0.112818,NonInteractive
hsa:5032,D02910,0.008043,0.002681,0,0,0.002681,0.002681,0.010724,0,0,0,0,0,0.1875,0.567542,0.600189,0,0.058824,0.121884,0,0.25,0.404762,0.690101,0.839979,0.672562,0.109293,NonInteractive
hsa:1814,D02342,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0.25,0.520883,0.463342,0,0.176471,0.172644,0,0,0.63354,0.388058,0,0.372611,0.097559,NonInteractive
hsa:3356,D03879,0.004255,0.002128,0.002128,0.002128,0.004255,0.006383,0.006383,0,0,0,0.002128,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814,NonInteractive
hsa:10800,D01071,0,0,0,0,0.005952,0,0.014881,0.002976,0,0,0.008929,0,0.1875,0.47589,0.538091,0.25,0.058824,0.401216,0,0,0.06746,0.564737,0,0.578864,0.208144,NonInteractive
hsa:2912,D00627,0.002296,0.002296,0.003444,0.001148,0.003444,0.004592,0.008037,0.002296,0.001148,0.001148,0.001148,0.333333,0.125,0.561041,0.611601,0.375,0.058824,0.34772,0,0.5,0.193182,0.82931,0.921577,0.815271,0.451775,NonInteractive
hsa:5737,D00454,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,NonInteractive
hsa:2913,D02374,0.002278,0.003417,0.001139,0,0.002278,0.003417,0.005695,0.002278,0.001139,0.001139,0.002278,0,0.25,0.600056,0.524791,0.125,0.176471,0.172644,0,0,0.441558,0.501569,0,0.495547,0.097542,NonInteractive
