Protein,Drug,LN,ED,DC,MH,GI,CL,VL,CT,CW,MY,VY,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5,ClassLabel
hsa:146,D02149,0,0.001751,0.001751,0,0.001751,0,0.010508,0.003503,0.001751,0.001751,0.003503,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:154,D02374,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.25,0.600056,0.524791,0.125,0.176471,0.172644,0,0,0.441558,0.501569,0,0.495547,0.097542,Interactive
hsa:150,D02149,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:3350,D00283,0.004751,0.002375,0,0,0.004751,0,0.019002,0.004751,0.002375,0,0,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:1131,D00454,0.001698,0.001698,0,0,0.001698,0,0.005093,0,0,0,0,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,Interactive
hsa:151,D00437,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.375,0.697973,0.561362,0.25,0.058824,0.266565,0,0,0.28022,0.659421,0,0.638621,0.205831,Interactive
hsa:147,D01051,0.001927,0.001927,0,0,0.001927,0.003854,0.011561,0.001927,0.001927,0.001927,0.001927,0,0.125,0.506441,0.59937,0.125,0.117647,0.304863,0,0,0.227679,0.691488,0.838104,0.689993,0.341909,Interactive
hsa:154,D01386,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0.0625,0.62758,0.695859,0,0.176471,0.199696,0,0,0.303571,0.252354,0,0.249474,0.091154,Interactive
hsa:151,D00281,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0,0.580076,0.613592,0,0.117647,0.317021,0,0,0.080952,0.379507,0.745791,0.37341,0.309316,Interactive
hsa:153,D02149,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:3352,D00451,0.013298,0,0.00266,0,0.00266,0.00266,0.013298,0.00266,0.005319,0,0,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512,Interactive
hsa:148,D02237,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0,0.444371,0.565786,0,0.294118,0.202128,0,0,0.346939,0.187659,0,0.147441,0.376936,Interactive
hsa:151,D02356,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.25,0.569298,0.443989,0,0.058824,0.168997,0,0,0.464286,0.673047,0,0.675443,0.194012,Interactive
hsa:150,D00332,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0.333333,0.125,0.450511,0.787501,0.125,0.235294,0.34772,0,0,0.303571,0.300408,0,0.319539,0.083778,Interactive
hsa:3360,D06396,0.005168,0,0,0,0.002584,0.005168,0.01292,0,0.007752,0,0.002584,0,0.125,0.580076,0.613592,0.125,0.235294,0.355927,0,0,0.202381,0.586292,0,0.586283,0.308286,Interactive
hsa:3269,D00666,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0.0625,0.580076,0.613592,0,0.058824,0.168997,0,0,0.28022,0.597697,0.77794,0.598318,0.109179,Interactive
hsa:3361,D00283,0,0,0,0,0.002809,0,0.016854,0.002809,0.002809,0,0.002809,0,0,0.580076,0.613592,0.125,0.117647,0.074772,0,0,0.046703,0.631555,0.640982,0.606959,0.446157,Interactive
hsa:64805,D00769,0.002933,0,0.002933,0,0,0.002933,0.005865,0.005865,0,0.002933,0,0,0.125,0.580076,0.613592,0.25,0.058824,0.121884,0,0.25,0.21118,0.584271,0.784043,0.569107,0.119808,Interactive
hsa:3355,D00674,0.008219,0.00274,0,0,0.00274,0,0.008219,0.00274,0.00274,0,0.00274,0,0.125,0.567404,0.558063,0.125,0.176471,0.38997,0,0.25,0.242857,0.599053,0.815264,0.594273,0.306755,Interactive
hsa:146,D01713,0,0.001751,0.001751,0,0.001751,0,0.010508,0.003503,0.001751,0.001751,0.003503,0,0,0.570427,0.68367,0,0.117647,0.222796,0,0,0,0.629285,0.839979,0.596803,0.311939,Interactive
hsa:4988,D00301,0.002506,0,0.002506,0,0,0.002506,0.007519,0.007519,0.002506,0.002506,0,0,0.125,0.520971,0.617587,0.125,0.058824,0.168997,0,0,0.295367,0.745911,0,0.745945,0.203736,Interactive
hsa:150,D02356,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.25,0.569298,0.443989,0,0.058824,0.168997,0,0,0.464286,0.673047,0,0.675443,0.194012,Interactive
hsa:154,D00645,0.002427,0.004854,0,0.002427,0.004854,0.004854,0.007282,0,0.002427,0,0.004854,0,0,0.580076,0.613592,0,0,0.168997,0,0,0.28022,0.316617,0,0.332593,0.113122,Interactive
hsa:1814,D00136,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0.125,0.580076,0.613592,0,0.117647,0.27386,0,0,0.260204,0.597114,0,0.605736,0.116942,Interactive
hsa:3269,D01242,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022,Interactive
hsa:6752,D02250,0.013587,0,0,0,0.005435,0.008152,0.008152,0.002717,0.002717,0,0,0,0.625,0.468163,0.824736,1,1,1,1,0.25,0.307619,0.889276,0.812953,0.877027,1,Interactive
hsa:150,D00607,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0.125,0.563942,0.55634,0,0.235294,0.202128,0,0,0.227679,0.428142,0.812953,0.427935,0.261615,Interactive
hsa:135,D01712,0.004866,0.002433,0.002433,0,0.002433,0.004866,0.024331,0,0.007299,0.002433,0.007299,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241,Interactive
hsa:148,D00954,0.002151,0.002151,0,0,0.002151,0.002151,0.015054,0.006452,0.002151,0.002151,0.002151,0,0.125,0.572919,0.750062,0,0.058824,0.298784,0,0.25,0.046703,0.751344,0.86353,0.756225,0,Interactive
hsa:150,D00563,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053,Interactive
hsa:3361,D00513,0,0,0,0,0.002809,0,0.016854,0.002809,0.002809,0,0.002809,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032,Interactive
hsa:3350,D01973,0.004751,0.002375,0,0,0.004751,0,0.019002,0.004751,0.002375,0,0,0,0.125,0.551462,0.637224,0.125,0.117647,0.281763,0,0.25,0.242857,0.658626,0.879238,0.656397,0.215998,Interactive
hsa:1814,D00454,0.010025,0,0,0,0,0,0.015038,0.002506,0.002506,0,0.005013,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456,Interactive
hsa:150,D00514,0.00431,0,0,0,0.002155,0.00431,0.006466,0.002155,0.002155,0,0.002155,0,0,0.421619,0.601811,0.125,0.058824,0.294529,0,0,0.151786,0.435459,0.749822,0.429822,0.202873,Interactive
hsa:5733,D01891,0.005141,0.002571,0.002571,0,0.002571,0,0.010283,0.005141,0.002571,0,0.005141,0,0.375,0.582761,0.618748,0.125,0.117647,0.168997,0,0,0.445238,0.553515,0.832296,0.539654,0,Interactive
hsa:1813,D01295,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0,0,0.564386,0.628441,0,0.117647,0.074772,0,0,0.235023,0.605997,0,0.59011,0.237982,Interactive
hsa:3358,D00563,0.006565,0,0,0.002188,0.006565,0.002188,0.013129,0,0,0,0.002188,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053,Interactive
hsa:151,D00609,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.25,0.655386,0.392985,0.375,0.117647,0.244073,0,0,0.195853,0.685024,0.749822,0.676429,0.538856,Interactive
hsa:1128,D01118,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0,0.487856,0.637603,0,0.058824,0.121884,0,0,0.252976,0.601619,0,0.589626,0.230599,Interactive
hsa:5739,D02721,0,0.002597,0,0,0.002597,0.007792,0.005195,0,0,0.002597,0,0.333333,0.25,0.543367,0.743596,0.125,0.176471,0.557447,0,0,0.359788,0.581759,0.906609,0.561085,0,Interactive
hsa:1813,D00987,0.00905,0.002262,0.002262,0,0,0,0.011312,0.006787,0.002262,0,0.006787,0,0.125,0.511173,0.554986,0.375,0.235294,0.357447,0,0.5,0.371032,0.759183,0.817531,0.741158,0.540523,Interactive
hsa:153,D00095,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,Interactive
hsa:5724,D01652,0,0,0,0,0.002933,0.005865,0.014663,0.002933,0,0,0.005865,0,0.125,0.580076,0.613592,0.375,0,0.168997,0,0,0.173469,0.741073,0.908717,0.714026,0.551778,Interactive
hsa:151,D01022,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,0,0.0625,0.634433,0.67095,0.125,0.176471,0.335258,0,0,0.182143,0.552917,0.745791,0.556785,0.204636,Interactive
hsa:1131,D03621,0.001698,0.001698,0,0,0.001698,0,0.005093,0,0,0,0,0,0,0.581478,0.594826,0,0.117647,0.074772,0,0,0.165584,0.523162,0,0.503846,0.228284,Interactive
hsa:64805,D00106,0.002933,0,0.002933,0,0,0.002933,0.005865,0.005865,0,0.002933,0,0.333333,0.3125,0.663539,0.692728,0.125,0.176471,0.557447,0,0,0.467033,0.560531,0.906609,0.536111,0,Interactive
hsa:3269,D01295,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0,0.564386,0.628441,0,0.117647,0.074772,0,0,0.235023,0.605997,0,0.59011,0.237982,Interactive
hsa:3354,D01973,0.002747,0.002747,0,0,0,0,0.002747,0.008242,0,0,0,0,0.125,0.551462,0.637224,0.125,0.117647,0.281763,0,0.25,0.242857,0.658626,0.879238,0.656397,0.215998,Interactive
hsa:153,D02066,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,Interactive
hsa:153,D02374,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.25,0.600056,0.524791,0.125,0.176471,0.172644,0,0,0.441558,0.501569,0,0.495547,0.097542,Interactive
hsa:3269,D00493,0.006173,0.00823,0,0,0,0.006173,0.00823,0,0.002058,0,0,0,0,0.580076,0.613592,0,0.117647,0.074772,0,0,0.173469,0.637584,0,0.631564,0.347384,Interactive
hsa:1128,D03621,0,0.002179,0.002179,0,0.002179,0,0.010893,0.002179,0,0,0,0,0,0.581478,0.594826,0,0.117647,0.074772,0,0,0.165584,0.523162,0,0.503846,0.228284,Interactive
hsa:2917,D00180,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0.333333,0.3125,0.531218,0.70376,0.125,0.176471,0.374772,0,0,0.631429,0.485136,0.832296,0.463683,0,NonInteractive
hsa:2912,D02150,0.002296,0.002296,0.003444,0.001148,0.003444,0.004592,0.008037,0.002296,0.001148,0.001148,0.001148,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,NonInteractive
hsa:151,D00400,0.004454,0.004454,0,0,0,0.002227,0.013363,0.002227,0.002227,0,0.004454,1,0.1875,0.51677,0.641669,0.375,0.117647,0.392401,0,0,0.392857,0.673755,0.749822,0.656262,0.527214,NonInteractive
hsa:2917,D01717,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0.333333,0.125,0.588677,0.691953,0.125,0.117647,0.34772,0,0,0.142857,0.752795,0,0.760918,0.20435,NonInteractive
hsa:136,D00996,0,0,0,0,0.006042,0.009063,0.018127,0.006042,0.003021,0,0.006042,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:3363,D00540,0.002252,0,0,0.002252,0.006757,0.004505,0.002252,0.002252,0.002252,0.002252,0,0,0.1875,0.512764,0.561815,0.125,0.058824,0.197872,0,0,0.242857,0.636102,0.866544,0.637693,0.115336,NonInteractive
hsa:9934,D00684,0.005935,0,0,0,0.002967,0.002967,0.005935,0,0,0.002967,0,0,0.3125,0.531802,0.63142,0.25,0.176471,0.199696,0,0,0.337302,0.669171,0,0.669319,0.098111,NonInteractive
hsa:1815,D00371,0.004785,0.002392,0.007177,0,0,0,0.011962,0.002392,0.002392,0,0.004785,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241,NonInteractive
hsa:5737,D00095,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:59340,D01332,0.003322,0,0,0,0,0,0.003322,0,0.003322,0,0,0,0.0625,0.520696,0.709076,0.125,0.058824,0.168997,0,0,0,0.649791,0.819755,0.617099,0.109549,NonInteractive
hsa:5732,D02671,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0,0.0625,0.543698,0.658845,0,0.058824,0.168997,0,0,0.167488,0.664465,0,0.657674,0.233113,NonInteractive
hsa:23620,D01603,0.002445,0,0,0,0,0.002445,0.01956,0.002445,0.002445,0.00489,0,0,0,0.472787,0.535708,0,0.176471,0.195441,0,0,0.373626,0.203643,0,0.191374,0.288115,NonInteractive
hsa:2914,D01973,0,0.003293,0,0.002195,0.005488,0.002195,0.005488,0.003293,0.001098,0.001098,0.003293,0,0.125,0.551462,0.637224,0.125,0.117647,0.281763,0,0.25,0.242857,0.658626,0.879238,0.656397,0.215998,NonInteractive
hsa:222545,D00674,0.006486,0.001081,0.001081,0.001081,0.005405,0.002162,0.004324,0.004324,0,0,0,0,0.125,0.567404,0.558063,0.125,0.176471,0.38997,0,0.25,0.242857,0.599053,0.815264,0.594273,0.306755,NonInteractive
hsa:1133,D00380,0.001883,0.003766,0,0,0.003766,0.001883,0.007533,0,0.001883,0,0.001883,0,0.1875,0.165134,0.508832,0,0.117647,0.338906,0,0,0.472222,0.412492,0,0.418801,0.199733,NonInteractive
hsa:3357,D00563,0,0,0,0.002083,0.010417,0,0.010417,0,0,0.002083,0.002083,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053,NonInteractive
hsa:8843,D00606,0.002591,0,0,0,0.005181,0.007772,0.007772,0,0,0,0.005181,0,0.0625,0.580076,0.613592,0.125,0.235294,0.33465,0,0,0.32381,0.350025,0,0.349322,0.258993,NonInteractive
hsa:2917,D01051,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0,0.125,0.506441,0.59937,0.125,0.117647,0.304863,0,0,0.227679,0.691488,0.838104,0.689993,0.341909,NonInteractive
hsa:1131,D03210,0.001698,0.001698,0,0,0.001698,0,0.005093,0,0,0,0,0,0.1875,0.600812,0.565818,0.25,0,0.168997,0,0,0.217949,0.754044,0,0.756087,0.447176,NonInteractive
hsa:3362,D02342,0.004556,0,0.002278,0,0.004556,0.004556,0.01139,0.002278,0,0,0,0,0.25,0.520883,0.463342,0,0.176471,0.172644,0,0,0.63354,0.388058,0,0.372611,0.097559,NonInteractive
hsa:135,D00996,0.004866,0.002433,0.002433,0,0.002433,0.004866,0.024331,0,0.007299,0.002433,0.007299,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:3360,D00954,0.005168,0,0,0,0.002584,0.005168,0.01292,0,0.007752,0,0.002584,0,0.125,0.572919,0.750062,0,0.058824,0.298784,0,0.25,0.046703,0.751344,0.86353,0.756225,0,NonInteractive
hsa:5733,D00520,0.005141,0.002571,0.002571,0,0.002571,0,0.010283,0.005141,0.002571,0,0.005141,0,0.0625,0.578891,0.539871,0,0.058824,0.121884,0,0,0.364286,0.430155,0,0.410362,0.101337,NonInteractive
hsa:135,D00673,0.004866,0.002433,0.002433,0,0.002433,0.004866,0.024331,0,0.007299,0.002433,0.007299,0,0.1875,0.555874,0.593262,0.25,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.399318,NonInteractive
hsa:5732,D00520,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0,0.0625,0.578891,0.539871,0,0.058824,0.121884,0,0,0.364286,0.430155,0,0.410362,0.101337,NonInteractive
hsa:3355,D00318,0.008219,0.00274,0,0,0.00274,0,0.008219,0.00274,0.00274,0,0.00274,0,0.125,0.640317,0.696251,0.25,0.470588,0.438602,0,0,0.425,0.400824,0.78103,0.401499,0.629635,NonInteractive
hsa:136,D00769,0,0,0,0,0.006042,0.009063,0.018127,0.006042,0.003021,0,0.006042,0,0.125,0.580076,0.613592,0.25,0.058824,0.121884,0,0.25,0.21118,0.584271,0.784043,0.569107,0.119808,NonInteractive
hsa:3360,D01965,0.005168,0,0,0,0.002584,0.005168,0.01292,0,0.007752,0,0.002584,0,0.25,0.566376,0.603252,0.125,0.294118,0.364134,0,0.25,0.459459,0.691631,0.815264,0.682982,0.303467,NonInteractive
hsa:5737,D01103,0,0.005587,0,0,0.011173,0.002793,0.005587,0,0.002793,0,0.005587,0,0.1875,0.498121,0.630569,0.125,0.058824,0.197872,0,0,0.183983,0.7691,0.909757,0.77201,0.129717,NonInteractive
hsa:4986,D00790,0.002639,0.005277,0,0,0.002639,0.002639,0.010554,0,0.002639,0,0.005277,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.158385,0.583729,0,0.572447,0.10141,NonInteractive
hsa:3351,D00523,0.002571,0.002571,0,0,0.002571,0,0.002571,0.005141,0.005141,0.002571,0.007712,0.666667,0.0625,0.532656,0.635905,0.375,0.058824,0.240729,0,0,0.236111,0.752403,0.938181,0.739205,0.636729,NonInteractive
hsa:56413,D03490,0,0,0,0,0,0.002801,0.016807,0,0,0.002801,0.005602,0,0.25,0.435462,0.515208,0,0.176471,0.172644,0,0,0.607143,0.440027,0.844242,0.449332,0.097559,NonInteractive
hsa:5732,D02147,0.002801,0.002801,0.002801,0.002801,0,0.002801,0.019608,0.002801,0,0,0,0,0.1875,0.582883,0.75993,0,0.294118,0.469605,0,0,0.357143,0.407494,0,0.417657,0.097982,NonInteractive
hsa:552,D00106,0.002398,0.002398,0.004796,0.002398,0.002398,0,0.014388,0,0.007194,0,0,0.333333,0.3125,0.663539,0.692728,0.125,0.176471,0.557447,0,0,0.467033,0.560531,0.906609,0.536111,0,NonInteractive
hsa:1909,D00666,0.003155,0,0,0.003155,0.003155,0.009464,0.003155,0.006309,0.003155,0,0.003155,0,0.0625,0.580076,0.613592,0,0.058824,0.168997,0,0,0.28022,0.597697,0.77794,0.598318,0.109179,NonInteractive
hsa:64805,D00059,0.002933,0,0.002933,0,0,0.002933,0.005865,0.005865,0,0.002933,0,0.333333,0.25,0.712807,1,0.125,0.352941,0.527356,0,0,0.260204,0.326448,0,0.330113,0.084165,NonInteractive
hsa:6755,D01024,0.002755,0,0,0,0,0.008264,0.030303,0,0.002755,0,0,0,0.3125,0.660537,0.514279,0,0.235294,0.230091,0,0,0.460591,0.585754,0,0.58777,0.182957,NonInteractive
hsa:552,D03880,0.002398,0.002398,0.004796,0.002398,0.002398,0,0.014388,0,0.007194,0,0,0.333333,0.75,0.568231,0.782686,0.125,0.529412,0.657447,0,0,0.404762,0.580667,0,0.576774,0,NonInteractive
hsa:9934,D00415,0.005935,0,0,0,0.002967,0.002967,0.005935,0,0,0.002967,0,0,0.125,0.5539,0.55416,0.125,0.176471,0.385714,0,0.25,0.263975,0.552842,0.879238,0.535746,0.310254,NonInteractive
hsa:554,D05740,0.002703,0,0.002703,0,0.002703,0.002703,0.016216,0.005405,0.005405,0.002703,0.002703,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651,NonInteractive
hsa:140,D01390,0.006309,0,0,0,0.006309,0.006309,0.012618,0,0.003155,0,0.006309,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,NonInteractive
hsa:4543,D00380,0.008596,0,0,0,0.002865,0.002865,0.020057,0.005731,0.002865,0,0.002865,0,0.1875,0.165134,0.508832,0,0.117647,0.338906,0,0,0.472222,0.412492,0,0.418801,0.199733,NonInteractive
hsa:2918,D00688,0.001103,0.002205,0,0.001103,0.003308,0,0.002205,0.002205,0.001103,0.002205,0.00441,0,0.1875,0.538362,0.773965,0,0.294118,0.529787,0,0,0.303571,0.380425,0,0.393177,0.097921,NonInteractive
hsa:2917,D02066,0.002188,0.004376,0,0,0.003282,0,0.00547,0.004376,0.001094,0.002188,0.003282,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785,NonInteractive
hsa:153,D00954,0,0,0,0.002101,0.002101,0.002101,0.010504,0.002101,0.002101,0,0.002101,0,0.125,0.572919,0.750062,0,0.058824,0.298784,0,0.25,0.046703,0.751344,0.86353,0.756225,0,NonInteractive
hsa:4985,D02007,0.002695,0,0,0,0.002695,0,0.013477,0.002695,0.002695,0,0,0,0.25,0.46411,0.588712,0.625,0.294118,0.58541,0,0,0.346939,0.615305,0.903376,0.595411,0.608146,NonInteractive
hsa:2550,D00632,0.003125,0.003125,0,0,0.005208,0.003125,0.00625,0.001042,0,0,0.002083,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814,NonInteractive
hsa:6753,D00996,0.004796,0.004796,0,0,0.002398,0.004796,0.014388,0,0.002398,0,0.004796,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:23620,D00235,0.002445,0,0,0,0,0.002445,0.01956,0.002445,0.002445,0.00489,0,0,0.1875,0.658052,0.646357,0.125,0.294118,0.31003,0,0,0.511278,0.356605,0,0.343322,0.179076,NonInteractive
hsa:2846,D00525,0.00813,0,0,0,0.00271,0.00271,0.01084,0.00271,0,0.00271,0.00542,0,0.125,0.521201,0.392498,0.25,0,0.168997,0,0,0.227679,0.437751,0.876532,0.424128,0.21088,NonInteractive
hsa:2918,D02349,0.001103,0.002205,0,0.001103,0.003308,0,0.002205,0.002205,0.001103,0.002205,0.00441,0,0.3125,0.533677,0.536004,0.25,0.176471,0.199696,0,0,0.437143,0.571715,0,0.582646,0.092087,NonInteractive
hsa:5032,D01871,0.008043,0.002681,0,0,0.002681,0.002681,0.010724,0,0,0,0,0,0,0.590039,0.707473,0,0.058824,0.168997,0,0,0.097143,0.618225,0,0.608656,0.109602,NonInteractive
hsa:3274,D00095,0.010101,0,0,0,0,0.007576,0.017677,0.002525,0.005051,0,0.005051,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922,NonInteractive
hsa:552,D02340,0.002398,0.002398,0.004796,0.002398,0.002398,0,0.014388,0,0.007194,0,0,0,0.0625,0.580076,0.613592,0.125,0.058824,0.074772,0,0,0.046703,0.632481,0.640982,0.607064,0.337729,NonInteractive
hsa:554,D00493,0.002703,0,0.002703,0,0.002703,0.002703,0.016216,0.005405,0.005405,0.002703,0.002703,0,0,0.580076,0.613592,0,0.117647,0.074772,0,0,0.173469,0.637584,0,0.631564,0.347384,NonInteractive
hsa:5731,D05246,0.002494,0,0,0,0.002494,0,0.007481,0,0.002494,0,0.002494,1,0.1875,0.543028,0.684059,0.375,0.176471,0.524316,0,0,0.269841,0.747268,0.887006,0.732031,0.63631,NonInteractive
hsa:3360,D00687,0.005168,0,0,0,0.002584,0.005168,0.01292,0,0.007752,0,0.002584,0,0.25,0.596503,0.688981,0,0.294118,0.469605,0,0,0.626728,0.509683,0,0.501422,0.101928,NonInteractive
