Name,nAcid,nO,MATS7e,MATS1p,C1SP2,nHBDon_Lipinski,MLFER_A,nG12Ring,nT9Ring,RotBFrac,MWC7,SRW9,TSRW,WTPT.5
D00301,0,0.125,0.520971,0.617587,0.125,0.058824,0.168997,0,0,0.295367,0.745911,0,0.745945,0.203736
D00306,0,0.125,0.337406,0.667204,0,0.058824,0.334043,0,0,0.194286,0.659898,0,0.657665,0
D00318,0,0.125,0.640317,0.696251,0.25,0.470588,0.438602,0,0,0.425,0.400824,0.78103,0.401499,0.629635
D00332,0.333333,0.125,0.450511,0.787501,0.125,0.235294,0.34772,0,0,0.303571,0.300408,0,0.319539,0.083778
D00336,0,0.3125,0.580076,0.613592,0.125,0.176471,0.45076,0,0,0.381633,0.653161,0,0.657719,0.306048
D00356,0,0.3125,0.567432,0.678048,0.125,0.176471,0.483587,0,0,0.53125,0.571363,0.832296,0.559142,0
D00364,0,0.125,0.580076,0.613592,0.125,0,0.168997,0,0,0.121429,0.678671,0.640982,0.652905,0.222755
D00371,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241
D00380,0,0.1875,0.165134,0.508832,0,0.117647,0.338906,0,0,0.472222,0.412492,0,0.418801,0.199733
D00394,0,0,0.566329,0.570603,0,0.058824,0.168997,0,0,0.202381,0.581896,0.640982,0.552401,0.222361
D00397,0,0.125,0.577237,0.579571,0.375,0.058824,0.091185,0,0,0.386364,0.484763,0,0.468723,0.215522
D00400,1,0.1875,0.51677,0.641669,0.375,0.117647,0.392401,0,0,0.392857,0.673755,0.749822,0.656262,0.527214
D00410,0,0.0625,0.61542,0.558234,0.5,0,0.168997,0,0,0.202381,0.47968,0,0.487527,0.203669
D00411,0,0.375,0.58243,0.530829,0.25,0.117647,0.217629,0,0.25,0.296825,0.795336,0.881884,0.792829,0.318421
D00415,0,0.125,0.5539,0.55416,0.125,0.176471,0.385714,0,0.25,0.263975,0.552842,0.879238,0.535746,0.310254
D00419,0,0.3125,0.60737,0.617204,0.125,0.117647,0.196049,0,0,0.62963,0.527906,0.832296,0.522919,0
D00422,0,0.1875,0.555874,0.593262,0.25,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.399318
D00426,0,0.125,0.53773,0.577158,0.25,0.058824,0.168997,0,0.25,0.142857,0.722824,0.815264,0.719554,0.44747
D00432,0,0.25,0.481963,0.709952,0,0.294118,0.355319,0,0,0.31677,0.539221,0,0.545353,0.097738
D00437,0,0.375,0.697973,0.561362,0.25,0.058824,0.266565,0,0,0.28022,0.659421,0,0.638621,0.205831
D00440,0,0.125,0.555571,0.69008,0.5,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.50414
D00442,0,0.625,0.468163,0.824736,1,1,1,1,0.25,0.307619,0.889276,0.812953,0.877027,1
D00443,0,0.25,0.542425,0.714717,0.25,0,0.168997,0,0.25,0.073593,0.849595,0.924358,0.849033,0
D00451,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512
D00454,0,0,0.521593,0.634856,0.25,0.117647,0.074772,0,0,0.048571,0.631613,0.836199,0.601412,0.4456
D00465,0,0.1875,0.542888,0.586987,0.125,0.117647,0.197872,0,0,0.359788,0.585418,0,0.581597,0.109074
D00480,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022
D00483,0,0.125,0.509992,0.655441,0,0.176471,0.172644,0,0,0.364286,0.450428,0,0.443976,0.097594
D00493,0,0,0.580076,0.613592,0,0.117647,0.074772,0,0,0.173469,0.637584,0,0.631564,0.347384
D00494,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022
D00498,0,0.0625,0.60087,0.67927,0,0.117647,0.334043,0,0,0.10559,0.656868,0,0.663304,0.118637
D00499,0,0.1875,0.274197,0.556051,0.25,0.117647,0.655623,0,0,0.303571,0.506915,0,0.524284,0.201174
D00503,0,0.0625,0.580076,0.613592,0,0.176471,0.105471,0,0,0.242857,0.651263,0,0.643447,0.354536
D00509,0,0.0625,0.643778,0.615791,0.125,0.117647,0.337386,0,0,0.21118,0.53009,0.745791,0.512202,0.326176
D00513,0,0.125,0.558162,0.634936,0.125,0.235294,0.28541,0,0.25,0.383459,0.444315,0.786981,0.432792,0.202032
D00514,0,0,0.421619,0.601811,0.125,0.058824,0.294529,0,0,0.151786,0.435459,0.749822,0.429822,0.202873
D00520,0,0.0625,0.578891,0.539871,0,0.058824,0.121884,0,0,0.364286,0.430155,0,0.410362,0.101337
D00521,0,0.125,0.562404,0.701535,0,0.176471,0.378723,0,0,0.287594,0.733503,0,0.739392,0.11735
D00522,1,0.1875,0.544295,0.643194,0.25,0.117647,0.419453,0,0.25,0.22973,0.753108,0.885746,0.733711,0.639946
D00523,0.666667,0.0625,0.532656,0.635905,0.375,0.058824,0.240729,0,0,0.236111,0.752403,0.938181,0.739205,0.636729
D00524,0,0.125,0,0,0,0.117647,0.306383,0,0,0.539683,0.046309,0,0.086053,0.189309
D00525,0,0.125,0.521201,0.392498,0.25,0,0.168997,0,0,0.227679,0.437751,0.876532,0.424128,0.21088
D00528,0,0.125,0.74402,0.089367,0.25,0,0.168997,0,0.25,0,0.519597,0.815264,0.519801,0.432169
D00540,0,0.1875,0.512764,0.561815,0.125,0.058824,0.197872,0,0,0.242857,0.636102,0.866544,0.637693,0.115336
D00542,0,0,0.580076,0.613592,0,0,0.174772,0,0,0.202381,0,0,0.081764,0
D00559,0,0,0.534397,0.783136,0,0.235294,0.244073,0,0.25,0.242857,0.399964,0.810596,0.385548,0.292451
D00560,0,0.0625,0.570797,0.625864,0,0.117647,0.105167,0,0.25,0.223684,0.728591,0.838104,0.718774,0.343294
D00563,0,0,0.520719,0.562249,0.25,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.339053
D00574,0,0.125,0.556158,0.736599,0.25,0.176471,0.512462,0,0,0.134921,0.528149,0,0.538004,0.186731
D00598,0,0.1875,0.593604,0.577018,0,0.176471,0.172644,0,0,0.580745,0.43315,0.844242,0.4433,0.097559
D00601,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557
D00604,0,0,0.580076,0.613592,0,0.117647,0.317021,0,0,0.080952,0.379507,0.745791,0.37341,0.309316
D00606,0,0.0625,0.580076,0.613592,0.125,0.235294,0.33465,0,0,0.32381,0.350025,0,0.349322,0.258993
D00607,0,0.125,0.563942,0.55634,0,0.235294,0.202128,0,0,0.227679,0.428142,0.812953,0.427935,0.261615
D00609,0,0.25,0.655386,0.392985,0.375,0.117647,0.244073,0,0,0.195853,0.685024,0.749822,0.676429,0.538856
D00613,0,0.1875,0.580076,0.613592,0,0.294118,0.587842,0,0,0.052795,0.599181,0.619369,0.582127,0.1045
D00627,0.333333,0.125,0.561041,0.611601,0.375,0.058824,0.34772,0,0.5,0.193182,0.82931,0.921577,0.815271,0.451775
D00632,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814
D00635,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557
D00645,0,0,0.580076,0.613592,0,0,0.168997,0,0,0.28022,0.316617,0,0.332593,0.113122
D00646,0,0.0625,0.559682,0.637988,0,0.117647,0.334043,0,0,0.34,0.557301,0,0.547041,0.111293
D00665,0,0,0.580076,0.613592,0.125,0.058824,0.168997,0,0,0.303571,0.452301,0,0.435167,0.205959
D00666,0,0.0625,0.580076,0.613592,0,0.058824,0.168997,0,0,0.28022,0.597697,0.77794,0.598318,0.109179
D00673,0,0.1875,0.555874,0.593262,0.25,0.176471,0.22766,0,0,0.578231,0.388951,0.78103,0.367472,0.399318
D00674,0,0.125,0.567404,0.558063,0.125,0.176471,0.38997,0,0.25,0.242857,0.599053,0.815264,0.594273,0.306755
D00675,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651
D00676,0,0.125,0.694699,0.514835,0.125,0.176471,0.38997,0,0.25,0.346939,0.526686,0.812953,0.521765,0.298512
D00682,0.333333,0.3125,0.53683,0.727608,0.125,0.235294,0.66231,0,0,0.56044,0.521757,0.832296,0.513781,0
D00683,0,0.1875,0.582883,0.75993,0,0.294118,0.469605,0,0,0.357143,0.407494,0,0.417657,0.097982
D00684,0,0.3125,0.531802,0.63142,0.25,0.176471,0.199696,0,0,0.337302,0.669171,0,0.669319,0.098111
D00687,0,0.25,0.596503,0.688981,0,0.294118,0.469605,0,0,0.626728,0.509683,0,0.501422,0.101928
D00688,0,0.1875,0.538362,0.773965,0,0.294118,0.529787,0,0,0.303571,0.380425,0,0.393177,0.097921
D00715,0,0.25,0.569314,0.542192,0.125,0.058824,0.091185,0,0,0.233516,0.720921,1,0.750275,0.119064
D00726,0,0.125,0.580076,0.613592,0.125,0.235294,0.308815,0,0,0.485714,0.456628,0,0.449553,0.296397
D00760,0,1,0.579952,0.335029,0.25,0,0.168997,0,0,0.44575,1,0,1,0.252531
D00765,0,0.25,0.563211,0.592024,0.25,0.117647,0.105471,0,0.25,0.169435,0.900137,0.914825,0.894286,0.245692
D00769,0,0.125,0.580076,0.613592,0.25,0.058824,0.121884,0,0.25,0.21118,0.584271,0.784043,0.569107,0.119808
D00775,0,0.0625,0.477209,0.732816,0,0.117647,0.244073,0,0.25,0.151786,0.449174,0.810596,0.452078,0.190077
D00779,0,0.0625,0.520899,0.707134,0,0.117647,0.27386,0,0,0.233516,0.64666,0.883185,0.645657,0.115912
D00780,0,0.3125,0.580076,0.613592,0.5,0.235294,0.424316,0,1,0.148688,0.963232,0.975665,0.95421,0.561475
D00790,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.158385,0.583729,0,0.572447,0.10141
D00837,0,0.125,0.544206,0.772469,0,0.176471,0.364742,0,0,0.086735,0.780644,0,0.797489,0.120603
D00838,0,0.0625,0.516497,0.833219,0,0.235294,0.334043,0,0,0,0.604291,0,0.602599,0.087698
D00845,0,0.125,0.514128,0.598911,0.25,0.058824,0.168997,0,0,0.376847,0.638209,0.745791,0.626005,0.237053
D00954,0,0.125,0.572919,0.750062,0,0.058824,0.298784,0,0.25,0.046703,0.751344,0.86353,0.756225,0
D00965,0,0.25,0.986948,0.598558,0.125,0.058824,0.268693,0,0,0.158385,0.650773,0.855642,0.65637,0.320285
D00987,0,0.125,0.511173,0.554986,0.375,0.235294,0.357447,0,0.5,0.371032,0.759183,0.817531,0.741158,0.540523
D00996,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922
D01020,0,0.1875,0.342043,0.579351,0,0.235294,0.199696,0,0,0.32381,0.391994,0,0.383319,0.080998
D01022,0,0.0625,0.634433,0.67095,0.125,0.176471,0.335258,0,0,0.182143,0.552917,0.745791,0.556785,0.204636
D01024,0,0.3125,0.660537,0.514279,0,0.235294,0.230091,0,0,0.460591,0.585754,0,0.58777,0.182957
D01051,0,0.125,0.506441,0.59937,0.125,0.117647,0.304863,0,0,0.227679,0.691488,0.838104,0.689993,0.341909
D01071,0,0.1875,0.47589,0.538091,0.25,0.058824,0.401216,0,0,0.06746,0.564737,0,0.578864,0.208144
D01103,0,0.1875,0.498121,0.630569,0.125,0.058824,0.197872,0,0,0.183983,0.7691,0.909757,0.77201,0.129717
D01118,0,0,0.487856,0.637603,0,0.058824,0.121884,0,0,0.252976,0.601619,0,0.589626,0.230599
D01126,0.333333,0.125,0.607219,0.775094,0.125,0.470588,0.353799,0,0,0.662338,0.085539,0,0.08235,0.3429
D01164,0,0.125,0.580076,0.613592,0.125,0.117647,0.047112,0,0,0.257576,0.648092,0,0.649731,0.340403
D01227,0,0.375,0.497719,0.460137,0.75,0.117647,0.355015,0,0,0.318027,0.764841,0,0.764599,0.5318
D01236,0,0.125,0.551962,0.643334,0.375,0.117647,0.266869,0,0,0.169435,0.793112,0.836199,0.774321,0.434724
D01242,0,0,0.487998,0.63935,0,0.058824,0.121884,0,0,0.165584,0.581828,0,0.570641,0.222022
D01269,0,0.125,0.440273,0.589359,0,0.058824,0.121884,0,0,0.156682,0.698333,0,0.698195,0.237856
D01295,0,0,0.564386,0.628441,0,0.117647,0.074772,0,0,0.235023,0.605997,0,0.59011,0.237982
D01297,0,0.125,0.514291,0.515936,0.5,0.176471,0,0,0,0.125616,0.669119,0.650476,0.643531,0.558074
D01324,0,0,0.576323,0.678078,0,0.058824,0.168997,0,0,0.089947,0.672184,0,0.675359,0.240937
D01332,0,0.0625,0.520696,0.709076,0.125,0.058824,0.168997,0,0,0,0.649791,0.819755,0.617099,0.109549
D01346,0.333333,0.3125,0.519658,0.757993,0.375,0.235294,0.549848,0,0,0.341518,0.606312,0,0.598832,0.208887
D01352,0.333333,0.3125,0.542518,0.733816,0.125,0.235294,0.66231,0,0,0.582857,0.485136,0.832296,0.463683,0
D01358,0,0,0.564131,0.602435,0,0.058824,0.074772,0,0,0,0.623031,0.650476,0.594978,0.232888
D01386,0,0.0625,0.62758,0.695859,0,0.176471,0.199696,0,0,0.303571,0.252354,0,0.249474,0.091154
D01390,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785
D01441,0,0.0625,0.598865,0.570878,0.5,0.235294,0.047112,0,0,0.236934,0.708752,0,0.704747,0.753114
D01454,0,0.125,0.580076,0.613592,0,0.176471,0.172644,0,0,0.404762,0.389715,0,0.402485,0.097675
D01462,0,0.0625,0.514737,0.587429,0.125,0.176471,0.310334,0,0.5,0.216837,0.70089,0.817531,0.688781,0.433201
D01603,0,0,0.472787,0.535708,0,0.176471,0.195441,0,0,0.373626,0.203643,0,0.191374,0.288115
D01652,0,0.125,0.580076,0.613592,0.375,0,0.168997,0,0,0.173469,0.741073,0.908717,0.714026,0.551778
D01692,0,0.25,0.606148,0.411076,0.25,0.176471,0.308815,0,0,0.364286,0.636444,0.749822,0.628504,0.512781
D01699,0,0.125,0.576373,0.683194,0.125,0.176471,0.306383,0,0.25,0.236111,0.759298,0.868023,0.749545,0.201023
D01712,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241
D01713,0,0,0.570427,0.68367,0,0.117647,0.222796,0,0,0,0.629285,0.839979,0.596803,0.311939
D01717,0.333333,0.125,0.588677,0.691953,0.125,0.117647,0.34772,0,0,0.142857,0.752795,0,0.760918,0.20435
D01745,0,0.125,0.580076,0.613592,0,0.176471,0.041337,0,0.5,0.178571,0.729351,0.919687,0.71926,0.566545
D01782,0,0,0.47207,0.604612,0.125,0.058824,0.168997,0,0,0.21118,0.505958,0.745791,0.489307,0.218896
D01828,0.333333,0.25,0.240718,0.727867,0.375,0.176471,0.422796,0,0,0.10119,0.642323,0,0.637589,0.19229
D01871,0,0,0.590039,0.707473,0,0.058824,0.168997,0,0,0.097143,0.618225,0,0.608656,0.109602
D01891,0,0.375,0.582761,0.618748,0.125,0.117647,0.168997,0,0,0.445238,0.553515,0.832296,0.539654,0
D01925,0,0.3125,0.413959,0.507258,0.625,0.294118,0.54924,0,0,0.313364,0.659156,0.850647,0.648935,0.717128
D01964,0,0.375,0.557205,0.636373,0.125,0.176471,0.456535,0,0,0.472222,0.642379,0.832296,0.642813,0
D01965,0,0.25,0.566376,0.603252,0.125,0.294118,0.364134,0,0.25,0.459459,0.691631,0.815264,0.682982,0.303467
D01973,0,0.125,0.551462,0.637224,0.125,0.117647,0.281763,0,0.25,0.242857,0.658626,0.879238,0.656397,0.215998
D01994,0,0.1875,0.580076,0.613592,0.125,0.235294,0.21459,0,0,0.313364,0.616281,0,0.611251,0.307315
D02007,0,0.25,0.46411,0.588712,0.625,0.294118,0.58541,0,0,0.346939,0.615305,0.903376,0.595411,0.608146
D02066,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785
D02070,0,0.1875,0.511667,0.556108,0.125,0.058824,0.197872,0,0,0.21118,0.603721,0.852335,0.614672,0.118617
D02076,0,0,0.580076,0.613592,0.25,0.117647,0.278419,0,0,0.12782,0.498191,0.745791,0.491853,0.520128
D02082,0.666667,0.25,0.549475,0.704043,0.625,0.117647,0.526444,0,0,0.379464,0.633635,0.865047,0.612515,0.227005
D02147,0,0.1875,0.582883,0.75993,0,0.294118,0.469605,0,0,0.357143,0.407494,0,0.417657,0.097982
D02149,0,0.1875,0.534572,0.838335,0,0.294118,0.453495,0,0,0.28022,0.307127,0,0.307471,0.091922
D02150,0,0.1875,0.558204,0.790941,0,0.294118,0.453495,0,0,0.32381,0.34345,0,0.342184,0.097785
D02234,0,0,0.59836,0.66719,0,0.058824,0.168997,0,0,0,0.626763,0.640982,0.598211,0.109574
D02237,0,0,0.444371,0.565786,0,0.294118,0.202128,0,0,0.346939,0.187659,0,0.147441,0.376936
D02250,0,0.625,0.468163,0.824736,1,1,1,1,0.25,0.307619,0.889276,0.812953,0.877027,1
D02278,0.333333,0.125,0.59863,0.805802,0.125,0.411765,0.273556,0,0,0.674603,0.005797,0,0,0.165245
D02279,0.333333,0.125,0.59863,0.805802,0.125,0.411765,0.273556,0,0,0.674603,0.005797,0,0,0.165245
D02327,0,0.0625,0.574616,0.497653,0.125,0.058824,0.121884,0,0,0.346939,0.511486,0,0.508838,0.204853
D02338,0,0.25,0.712531,0.576757,0.125,0.235294,0.144985,0,0,0.556548,0.482796,0,0.466874,0.20071
D02340,0,0.0625,0.580076,0.613592,0.125,0.058824,0.074772,0,0,0.046703,0.632481,0.640982,0.607064,0.337729
D02342,0,0.25,0.520883,0.463342,0,0.176471,0.172644,0,0,0.63354,0.388058,0,0.372611,0.097559
D02349,0,0.3125,0.533677,0.536004,0.25,0.176471,0.199696,0,0,0.437143,0.571715,0,0.582646,0.092087
D02354,0,0,0.571418,0.667888,0,0.117647,0.074772,0,0,0.242857,0.652511,0,0.64354,0.347816
D02356,0,0.25,0.569298,0.443989,0,0.058824,0.168997,0,0,0.464286,0.673047,0,0.675443,0.194012
D02357,0,0.125,0.52901,0.633353,0.25,0.176471,0.31155,0,0.5,0.20936,0.725015,0.839979,0.709875,0.327863
D02358,0,0.1875,0.584092,0.510142,0,0.176471,0.172644,0,0,0.575188,0.341821,0,0.324518,0.097557
D02359,0,0.1875,0.652462,0.810602,0,0.294118,0.529787,0,0,0.331169,0.4617,0,0.461001,0.101604
D02361,0,0.0625,0.511845,0.636816,0,0.058824,0.121884,0,0,0.233516,0.638662,0,0.6257,0.222457
D02374,0,0.25,0.600056,0.524791,0.125,0.176471,0.172644,0,0,0.441558,0.501569,0,0.495547,0.097542
D02566,0,0,0.596419,0.704999,0,0.058824,0.195441,0,0,0.202381,0.702875,0,0.710474,0.092615
D02578,0,0.125,0.568852,0.578555,0.125,0.058824,0.280851,0,0,0.319549,0.460995,0,0.452095,0.098704
D02588,0,0.25,0.430484,0.67039,0.625,0.294118,0.58541,0,0,0.32381,0.637925,0.850647,0.625089,0.609198
D02614,0,0.25,0.625148,0.630292,0,0.235294,0.364742,0,0,0.404762,0.495768,0,0.493133,0.1025
D02671,0,0.0625,0.543698,0.658845,0,0.058824,0.168997,0,0,0.167488,0.664465,0,0.657674,0.233113
D02721,0.333333,0.25,0.543367,0.743596,0.125,0.176471,0.557447,0,0,0.359788,0.581759,0.906609,0.561085,0
D02725,0,0.4375,0.556506,0.597628,0.125,0.176471,0.277204,0,0,0.478355,0.592409,0.832296,0.591142,0.097227
D02826,0,0.0625,0.61571,0.57881,0,0.235294,0.245897,0,0,0.354167,0.47968,0,0.476405,0.413855
D02884,0,0.125,1,0.186961,0.25,0.058824,0.294529,0,0.25,0,0.478253,0.789848,0.48173,0.425241
D02910,0,0.1875,0.567542,0.600189,0,0.058824,0.121884,0,0.25,0.404762,0.690101,0.839979,0.672562,0.109293
D03165,0,0.3125,0.580076,0.613592,0.5,0.235294,0.424316,0,1,0.148688,0.963232,0.975665,0.95421,0.561475
D03187,0,0.3125,0.600637,0.652702,0.125,0.117647,0.196049,0,0,0.566667,0.618588,0.832296,0.648752,0
D03210,0,0.1875,0.600812,0.565818,0.25,0,0.168997,0,0,0.217949,0.754044,0,0.756087,0.447176
D03274,0,0,0.580076,0.613592,0,0.058824,0.168997,0,0,0.21118,0.583729,0,0.572447,0.222951
D03415,0,0.25,0.622627,0.613437,0,0.235294,0.238298,0,0.5,0.367965,0.665246,0.841824,0.653529,0.210284
D03490,0,0.25,0.435462,0.515208,0,0.176471,0.172644,0,0,0.607143,0.440027,0.844242,0.449332,0.097559
D03503,0,0,0.570397,0.596772,0,0.176471,0.347416,0,0,0.5,0.30961,0.77794,0.29419,0.579022
D03621,0,0,0.581478,0.594826,0,0.117647,0.074772,0,0,0.165584,0.523162,0,0.503846,0.228284
D03642,0.333333,0.25,0.580076,0.613592,0.125,0.117647,0.455927,0,0,0.354167,0.514298,0,0.523243,0.101555
D03654,0,0.125,0.576373,0.683194,0.125,0.176471,0.306383,0,0.25,0.236111,0.759298,0.868023,0.749545,0.201023
D03858,0,0.0625,0.548355,0.676109,0,0.117647,0.27386,0,0,0.291429,0.560458,0,0.559819,0.115668
D03879,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814
D03880,0.333333,0.75,0.568231,0.782686,0.125,0.529412,0.657447,0,0,0.404762,0.580667,0,0.576774,0
D03881,0,0.1875,0.572627,0.796086,0,0.294118,0.587842,0,0,0.369565,0.457343,0,0.459174,0.101814
D04006,0,0.125,0.532579,0.390206,0.25,0.117647,0.526748,0,0.25,0.161905,0.463806,0.789848,0.45542,0.426522
D04034,0.333333,0.25,0.537517,0.843566,0.125,0.176471,0.677812,0,0,0.186813,0.608257,0,0.590681,0
D04040,0.666667,0.25,0.549475,0.704043,0.625,0.117647,0.526444,0,0,0.379464,0.633635,0.865047,0.612515,0.227005
D04375,0,0,0.580076,0.613592,0.125,0.235294,0.222796,0,0,0.260204,0.304122,0,0.307656,0.36107
D04625,0,0.1875,0.602532,0.75993,0,0.294118,0.453495,0,0,0.357143,0.415195,0,0.409323,0.09869
D04716,0,0.125,0.544723,0.536064,0.125,0,0.168997,0,0,0.404762,0.647432,0,0.627487,0.100933
D05113,0,0.25,0.480284,0.764638,0,0.176471,0.28845,0,0.75,0.080952,0.866308,0.942454,0.867502,0.119761
D05246,1,0.1875,0.543028,0.684059,0.375,0.176471,0.524316,0,0,0.269841,0.747268,0.887006,0.732031,0.63631
D05341,0.333333,0.125,0.571213,0.592596,0.125,0.058824,0.34772,0,0,1,0.120637,0,0.077743,0
D05740,0,0,0.552718,0.499161,0.125,0.117647,0.281763,0,0.25,0.275974,0.531216,0.866544,0.512104,0.526651
D05792,0,0.25,0.596503,0.688981,0,0.294118,0.469605,0,0,0.626728,0.509683,0,0.501422,0.101928
D05938,0,0.125,0.514128,0.598911,0.25,0.058824,0.168997,0,0,0.376847,0.638209,0.745791,0.626005,0.237053
D06056,0,0.0625,0.621338,0.57911,0.25,0.235294,0.308207,0,0.25,0.475155,0.495498,0.812953,0.476781,0.497284
D06396,0,0.125,0.580076,0.613592,0.125,0.235294,0.355927,0,0,0.202381,0.586292,0,0.586283,0.308286
